agent,condition,p50_median,ci_lower,ci_upper,ci_logwidth
GPT-5,metr,133.48944624503605,65.84781198189967,247.37333550306667,1.3235524749304082
Claude Opus 4.5,metr,244.3172484315584,97.1436914661243,873.5942954381902,2.196424837322369
o1,metr,42.44939676160416,20.29116782088663,87.16754766144109,1.4576463931435621
gpt-3.5-turbo-instruct,metr,0.556688857243278,0.2511059133356437,1.090358661850061,1.468387153057735
GPT-4 0314,metr,6.122562508627324,2.8170810282076086,11.692842111468087,1.4232756167545666
o3,metr,92.02510271806665,45.63824931077676,158.16948420906465,1.2429209773805683
GPT-4 1106,metr,9.459611757662461,4.454569016596548,17.772069712182926,1.38369779291279
GPT-4o,metr,10.365617293185576,4.9384496076921325,19.376052969260268,1.3669864832196321
Claude 4.1 Opus,metr,109.432902406055,55.95166471403449,205.3610365494262,1.3002813961076016
o1-preview,metr,23.38967441062227,13.003846505224333,39.098832697995206,1.1008474135609958
GPT-5.1-Codex-Max,metr,169.7589438173264,80.04730564956928,330.0734515585573,1.4166974296412924
Claude 3.5 Sonnet (New),metr,30.42905176573953,14.914722670054054,60.97554633905304,1.4081240803473012
Claude 3.5 Sonnet (Old),metr,19.894705991715668,10.51842262662283,35.828261726851586,1.2256087600464163
Claude 3.7 Sonnet,metr,56.04885343079243,29.207828653076454,92.32086298240394,1.150833372547734
davinci-002 (GPT-3),metr,0.14383068159601464,0.09345592303685207,0.2224509863023065,0.8672168772831372
Grok 4,metr,107.11980779170595,45.2554339125585,214.35945988824815,1.5553315755739305
GPT-2,metr,0.05474192692262225,0.009289345433970655,0.13905118325788773,2.7059739990926626
GPT-5,metr+x_param,138.46822686182344,66.93943476412151,355.66933582785913,1.6702132154467104
Claude Opus 4.5,metr+x_param,288.6172723254373,106.85469532242772,1506.7393908243344,2.646233327319325
o1,metr+x_param,40.38043214653044,17.7563762669525,90.67548162820022,1.6305423190201143
gpt-3.5-turbo-instruct,metr+x_param,0.5282041775241197,0.211411975963812,1.1380868310428436,1.6832951906599596
GPT-4 0314,metr+x_param,5.200011163055944,2.190768402051136,10.894444708790273,1.6040006487654668
o3,metr+x_param,93.22392585049641,44.424308452895,177.72505241574518,1.386450899442331
GPT-4 1106,metr+x_param,8.148019533032977,3.6785602632978986,15.830991261970397,1.4594480483047565
GPT-4o,metr+x_param,8.937248507194472,4.138447881594519,17.514458106510673,1.4427059076332762
Claude 4.1 Opus,metr+x_param,115.2725591631104,53.81911766773392,262.0196936148406,1.5827909163742426
o1-preview,metr+x_param,21.135204405156895,11.03369310989578,38.51567533892761,1.2501117087595226
GPT-5.1-Codex-Max,metr+x_param,180.50603629728585,74.5021540612043,480.8225214541744,1.8646701852100451
Claude 3.5 Sonnet (New),metr+x_param,28.2450194448966,13.018630384094694,60.81484907364013,1.5414525493248112
Claude 3.5 Sonnet (Old),metr+x_param,17.621971171465823,8.605992968896206,35.874836733383454,1.4275773056677366
Claude 3.7 Sonnet,metr+x_param,55.85275621548677,25.630728180980885,98.82751783036703,1.3495841352769578
davinci-002 (GPT-3),metr+x_param,0.14214304472988432,0.09360939838700963,0.22489246946822727,0.8764915859324195
Grok 4,metr+x_param,109.72020071847885,45.485052226196395,282.0415965373258,1.824670816031376
GPT-2,metr+x_param,0.05255456527748695,0.009558869230765408,0.13266154592231175,2.6303316785290085
GPT-5,x_param_only,139.85685749800285,112.99421409710334,169.2240504488483,0.40388696448262307
Claude Opus 4.5,x_param_only,301.0934880702184,230.58074674302435,412.66864416179294,0.5820438442147641
o1,x_param_only,40.14199138175023,33.988629043708436,46.438064746136796,0.3120934550404988
gpt-3.5-turbo-instruct,x_param_only,0.5664735807799998,0.4856391009681823,0.6538989779416188,0.297487114103544
GPT-4 0314,x_param_only,5.259058923422524,4.5023933443599145,6.259809629464149,0.3295406643267581
o3,x_param_only,92.65980231844276,76.61902205978198,110.20438645410589,0.3634913247303753
GPT-4 1106,x_param_only,8.26895301991747,7.060273441589425,9.66921029625469,0.314462858941534
GPT-4o,x_param_only,8.980326612830218,7.567508271064884,10.603202679389957,0.3372922401631017
Claude 4.1 Opus,x_param_only,114.07306692689095,93.39169640652327,136.33586944944426,0.3783190318081075
o1-preview,x_param_only,21.308478964353213,18.031008273584106,25.094053395983735,0.33053794392648
GPT-5.1-Codex-Max,x_param_only,177.9723614369959,143.66325873924822,223.37922504455557,0.4413988078000534
Claude 3.5 Sonnet (New),x_param_only,28.64861329728488,24.49186333002971,33.54535466168608,0.3145574402609081
Claude 3.5 Sonnet (Old),x_param_only,17.96404136109885,15.33090793414329,21.06931497811145,0.31794679846859425
Claude 3.7 Sonnet,x_param_only,54.62801944266745,46.37691150229921,63.435760159781566,0.3132260043507363
davinci-002 (GPT-3),x_param_only,0.1434802956189165,0.13417656251628104,0.1529126492210369,0.1307102748756887
Grok 4,x_param_only,110.71597658683288,91.82261514571672,131.80871444644788,0.3614931189596834
GPT-2,x_param_only,0.05255929621926955,0.04915966164348115,0.05578801651215749,0.12648568656346687
