agent,condition,p50_median,ci_lower,ci_upper,ci_logwidth
o1 (Inspect),metr,39.34873510463308,20.23852722204428,67.88902609284409,1.2102863267784196
GPT-4o (Inspect),metr,7.0577094008242405,3.797392479366874,12.730807791239094,1.2097102247138984
GPT-4 0314,metr,3.99876967574885,1.9168098414212709,7.9044336593937246,1.416761561531256
GPT-5.2,metr,352.1419992868049,195.53821352784533,892.7785976862732,1.5185827932740374
Claude Opus 4.6 (Inspect),metr,695.6389812062466,316.396413260302,4707.97588729441,2.7000174469852074
Claude 3.5 Sonnet (Old) (Inspect),metr,11.225123736829435,5.395813172235398,22.61310027900788,1.4329060823394344
GPT-5 (Inspect),metr,205.68913917180686,113.78597894021716,393.5322929657718,1.240843824282133
GPT-4 1106 (Inspect),metr,4.028605269679904,1.8705012214664052,8.218221963416681,1.4801474516950117
o1-preview,metr,20.476179324714565,11.165148843753013,33.26158895739047,1.0916060299634576
Claude 3.5 Sonnet (New) (Inspect),metr,19.469273082779722,9.822637731451177,41.58540333655686,1.44305952997276
o3 (Inspect),metr,119.5847636204173,72.53502357047954,190.96421041869021,0.968016501537944
Gemini 3 Pro,metr,223.6630286899521,137.60443996269905,384.97899963294356,1.0288055942426888
Claude 3.7 Sonnet (Inspect),metr,57.99667780178616,33.56579367060996,101.94318665155824,1.1109081616022451
Claude Opus 4.5 (Inspect),metr,293.54373756929255,158.4471024697298,655.0168161423323,1.419240109552469
o1 (Inspect),metr+x_param,35.93066279474699,18.370435216808062,65.9629884599908,1.2783512131591914
GPT-4o (Inspect),metr+x_param,5.979398196200496,2.933362801629769,10.979579671973614,1.3198876753318816
GPT-4 0314,metr+x_param,3.420255981819783,1.4250590574874222,6.947031525128,1.5841011929362505
GPT-5.2,metr+x_param,448.19659077447375,196.90702290900398,1651.349073620002,2.126616200802356
Claude Opus 4.6 (Inspect),metr+x_param,1055.1831602814264,377.6052502851143,12254.350143365125,3.479786928147557
Claude 3.5 Sonnet (Old) (Inspect),metr+x_param,9.87947974956485,4.342216431148448,19.663028643047213,1.510355237702518
GPT-5 (Inspect),metr+x_param,225.682077141407,110.75420114460982,570.3793239451072,1.6389882783085927
GPT-4 1106 (Inspect),metr+x_param,3.399168724679339,1.316783626873218,7.021663118172744,1.673807984562916
o1-preview,metr+x_param,18.403894452205883,9.671291216058382,32.053357495539494,1.1982401073491065
Claude 3.5 Sonnet (New) (Inspect),metr+x_param,17.701119344967765,8.101243689722814,36.882421100219254,1.5157174527541974
o3 (Inspect),metr+x_param,116.89359121537271,66.60269870014362,214.16441853629976,1.1679989331908323
Gemini 3 Pro,metr+x_param,242.1090177916841,134.4055870690352,546.5353394730239,1.4027369729391936
Claude 3.7 Sonnet (Inspect),metr+x_param,55.95334450264363,29.45127270713459,98.98253153578494,1.212206260406352
Claude Opus 4.5 (Inspect),metr+x_param,351.08567307914893,157.96259283161274,1184.021756913567,2.014313940280752
o1 (Inspect),x_param_only,36.34612355140894,31.551558541669063,41.402353162615405,0.2717147320234989
GPT-4o (Inspect),x_param_only,6.0696663830781254,5.225730029095851,6.894741588164546,0.2771645258158175
GPT-4 0314,x_param_only,3.392938162702732,2.8648417825059362,3.9775699777558278,0.3281579500913153
GPT-5.2,x_param_only,455.1928192106777,353.59585970208514,618.2922312181477,0.5588065900329336
Claude Opus 4.6 (Inspect),x_param_only,1138.9149198530945,774.6481805615616,1923.7925913350875,0.9096448589370154
Claude 3.5 Sonnet (Old) (Inspect),x_param_only,10.173752520967462,8.749936343262627,11.552851878619538,0.2778858970995248
GPT-5 (Inspect),x_param_only,228.32887281750118,189.45671099376327,280.4999205316896,0.3924128812543204
GPT-4 1106 (Inspect),x_param_only,3.434844283853815,2.933169305434215,4.080976138510121,0.33025269678469854
o1-preview,x_param_only,18.480293395939142,16.01058151301238,21.04325588193015,0.27333027492630596
Claude 3.5 Sonnet (New) (Inspect),x_param_only,18.685263413049974,16.233069841815034,21.282209210955536,0.270820965610871
o3 (Inspect),x_param_only,119.54831413226239,102.43028592473824,139.05752737864324,0.3057052836846504
Gemini 3 Pro,x_param_only,250.78662508429431,207.62707115412678,317.1757558035314,0.4237125116065339
Claude 3.7 Sonnet (Inspect),x_param_only,57.74500482531025,50.00385105607653,66.3630050065564,0.2830397241152744
Claude Opus 4.5 (Inspect),x_param_only,361.85165784042675,286.1408951033695,486.4974936809223,0.5307474201437198
