task_id,task_source,human_source,human_minutes,n_successful_runs,log_time_std,degrees_of_freedom,log_time_std_shrunken,sem_log,metr_sem_log,gsem_factor,sem_source
acdc_bug/fix_checkpointing,HCAST,baseline,877.018,1,,0,0.8892021218209472,0.8892021218209472,0.78,2.433187489385281,prior_only
ai_rd_fix_embedding/main,RE-Bench,baseline,455.249,6,1.1582058143665317,5,0.8892021218209472,0.3630152461102414,0.3184336665618132,1.4376577777630921,empirical_shrunken
ai_rd_nanogpt_chat_rl/main,RE-Bench,estimate,480.0,8,0.35591614198810495,7,0.8892021218209472,1.05,1.05,2.857651118063164,metr_estimate_assumption
ai_rd_optimize_llm_foundry/main,RE-Bench,baseline,483.331,6,0.4633552737305458,5,0.8892021218209472,0.3630152461102414,0.3184336665618132,1.4376577777630921,empirical_shrunken
ai_rd_restricted_mlm/main,RE-Bench,baseline,479.196,6,0.9801918851472335,5,0.8892021218209472,0.3630152461102414,0.3184336665618132,1.4376577777630921,empirical_shrunken
ai_rd_rust_codecontests_inference/main,RE-Bench,estimate,480.0,11,1.0373538093776105,10,0.8892021218209472,1.05,1.05,2.857651118063164,metr_estimate_assumption
ai_rd_small_scaling_law/main,RE-Bench,estimate,480.0,6,0.28332749717907224,5,0.8892021218209472,1.05,1.05,2.857651118063164,metr_estimate_assumption
ai_rd_triton_cumsum/main,RE-Bench,baseline,492.963,4,0.0,3,0.8892021218209472,0.4446010609104736,0.39,1.5598677794560925,empirical_shrunken
alert_triage/alert_triage_1,SWAA,baseline,0.1696162735,4,0.3642001388634281,3,0.3382587424588585,0.16912937122942925,0.39,1.1842733399118204,empirical_shrunken
alert_triage/alert_triage_10,SWAA,baseline,0.0948365178,4,0.26211594527971877,3,0.2821108386475447,0.14105541932377236,0.39,1.1514884609283291,empirical_shrunken
alert_triage/alert_triage_11,SWAA,baseline,0.1005509975,4,0.4949144898443445,3,0.4190447927507876,0.2095223963753938,0.39,1.2330889915255172,empirical_shrunken
alert_triage/alert_triage_3,SWAA,baseline,0.0851312872,4,0.4421591838611853,3,0.38557273847280976,0.19278636923640488,0.39,1.212623712116653,empirical_shrunken
alert_triage/alert_triage_4,SWAA,baseline,0.0985183025,4,0.4842843721718351,3,0.412222976694928,0.206111488347464,0.39,1.2288902032962374,empirical_shrunken
alert_triage/alert_triage_5,SWAA,baseline,0.0819728262,4,0.27633901436811725,3,0.28941115579356314,0.14470557789678157,0.39,1.1556992567667064,empirical_shrunken
alert_triage/alert_triage_6,SWAA,baseline,0.085147315,4,0.6187441700919141,3,0.5007272199341491,0.2503636099670746,0.39,1.284492386019433,empirical_shrunken
alert_triage/alert_triage_7,SWAA,baseline,0.069189755,4,0.8464632365443577,3,0.6576482411978147,0.32882412059890737,0.39,1.389333478957636,empirical_shrunken
alert_triage/alert_triage_8,SWAA,baseline,0.0705176306,4,0.40587825316509824,3,0.36318638846586143,0.18159319423293072,0.39,1.1991262831567164,empirical_shrunken
alert_triage/alert_triage_9,SWAA,baseline,0.10645328700000001,4,0.3609234646430384,3,0.3363399332379091,0.16816996661895456,0.39,1.1831376874716502,empirical_shrunken
arithmetic/complex_1,SWAA,baseline,0.46120364010000003,3,0.44409795334415086,2,0.3728749770422826,0.2152794683694374,0.45033320996790815,1.2402084475714452,empirical_shrunken
arithmetic/complex_10,SWAA,baseline,0.4043179951,3,0.7703428388175962,2,0.5611293698161944,0.32396819271358496,0.45033320996790815,1.3826033295599782,empirical_shrunken
arithmetic/complex_2,SWAA,baseline,0.2820306099,3,0.931928358723567,2,0.6610106676759356,0.3816346869199157,0.45033320996790815,1.4646769217502067,empirical_shrunken
arithmetic/complex_3,SWAA,baseline,0.7203701405,3,0.7507209817836398,2,0.5492002173629271,0.317080893333487,0.45033320996790815,1.3731136431727893,empirical_shrunken
arithmetic/complex_4,SWAA,baseline,0.1691079557,3,0.4799128573199073,2,0.39207413822951476,0.2263641092491009,0.45033320996790815,1.2540321868791875,empirical_shrunken
arithmetic/complex_5,SWAA,baseline,0.4299560256,3,1.2864828742684769,2,0.8865631725538405,0.5118574863275686,0.45033320996790815,1.6683873251915151,empirical_shrunken
arithmetic/complex_6,SWAA,baseline,0.07750217520000001,3,0.4138006645965082,2,0.35707261483915265,0.20615597029762836,0.45033320996790815,1.228944867944804,empirical_shrunken
arithmetic/complex_7,SWAA,baseline,0.15773222080000002,3,0.48643002691032855,2,0.3956223157736547,0.22841265050934267,0.45033320996790815,1.256603756639756,empirical_shrunken
arithmetic/complex_8,SWAA,baseline,0.1732389399,3,1.466573808747057,2,1.0030073702274631,0.5790865752000045,0.45033320996790815,1.78440776381287,empirical_shrunken
arithmetic/complex_9,SWAA,baseline,0.1720399438,3,0.94647125342618,2,0.6701180330471416,0.3868928267685897,0.45033320996790815,1.472398681092196,empirical_shrunken
arithmetic/simple_1,SWAA,baseline,0.0199203547,3,0.1177351709245195,2,0.2401300670179037,0.1386391588333096,0.45033320996790815,1.1487095235253162,empirical_shrunken
arithmetic/simple_10,SWAA,baseline,0.06644668100000001,3,0.7065831467604298,2,0.5225663033304517,0.301703795897264,0.45033320996790815,1.3521606518538158,empirical_shrunken
arithmetic/simple_2,SWAA,baseline,0.0292883521,3,0.20008824906568518,2,0.26320713658267936,0.15196271115864052,0.45033320996790815,1.1641168270550868,empirical_shrunken
arithmetic/simple_3,SWAA,baseline,0.0284580325,3,0.017869309273730767,2,0.22727203848001612,0.1312155725957123,0.45033320996790815,1.140213553615571,empirical_shrunken
arithmetic/simple_4,SWAA,baseline,0.027457338600000002,3,0.058556759000550636,2,0.2302880142203783,0.1329568470012798,0.45033320996790815,1.1422007078817011,empirical_shrunken
arithmetic/simple_5,SWAA,baseline,0.0320020836,3,0.1444943447229139,2,0.24652893964913047,0.1423335496694585,0.45033320996790815,1.1529611542194569,empirical_shrunken
arithmetic/simple_6,SWAA,baseline,0.032043553,3,0.17937595859821415,2,0.25649566358582543,0.148087840417248,0.45033320996790815,1.1596147529330911,empirical_shrunken
arithmetic/simple_7,SWAA,baseline,0.0358603689,3,0.20044110725438247,2,0.26332625600864024,0.15203148479128475,0.45033320996790815,1.164196890351196,empirical_shrunken
arithmetic/simple_8,SWAA,baseline,0.1343182743,3,0.7580233674638416,2,0.5536336924254639,0.3196405613542881,0.45033320996790815,1.3766328603465101,empirical_shrunken
arithmetic/simple_9,SWAA,baseline,0.0436984314,3,0.2637021612260394,2,0.2870039334491184,0.16570179823532996,0.45033320996790815,1.1802211052266167,empirical_shrunken
audio_classification/macaques_numpy,HCAST,estimate,360.0,0,,0,0.8892021218209472,1.05,1.05,2.857651118063164,metr_estimate_assumption
auto_days_since/fixed-date,HCAST,baseline,1.996,4,0.4233213807502513,3,0.8892021218209472,0.4446010609104736,0.39,1.5598677794560925,empirical_shrunken
avoid_shutdown/contents_eq_see=true,HCAST,baseline,21.834,2,0.22573924129852066,1,0.8892021218209472,0.6287608501850582,0.551543289325507,1.8752853793955357,empirical_shrunken
avoid_shutdown/easy_see=true,HCAST,baseline,36.438,3,0.4986427862756128,2,0.8892021218209472,0.5133810843973102,0.45033320996790815,1.6709312143399515,empirical_shrunken
avoid_shutdown/kill_agent_processes_cron_see=true,HCAST,estimate,60.0,0,,0,0.8892021218209472,1.05,1.05,2.857651118063164,metr_estimate_assumption
avoid_shutdown/kill_dir_process_see=true,HCAST,baseline,34.629,4,0.3597402427577218,3,0.8892021218209472,0.4446010609104736,0.39,1.5598677794560925,empirical_shrunken
avoid_shutdown/kill_test_process_see=true,HCAST,baseline,45.131,1,,0,0.8892021218209472,0.8892021218209472,0.78,2.433187489385281,prior_only
blackbox/acorn,HCAST,baseline,12.043,1,,0,0.8892021218209472,0.8892021218209472,0.78,2.433187489385281,prior_only
