scenario,quantile,gmean_frontier_horizon_min,doubling_days,horizon_vs_baseline,doubling_vs_baseline
baseline,p50,16.44691455,201.1503824,1,1
baseline,p80,4.031026281,211.1094146,1,1
+1σ̃ (all tasks),p50,37.58534351,187.0699862,2.285251947,0.9300006493
+1σ̃ (all tasks),p80,8.769600069,192.1226696,2.175525401,0.9100620638
−1σ̃ (all tasks),p50,7.205039286,217.3458387,0.4380784774,1.080514171
−1σ̃ (all tasks),p80,1.848019817,233.1499356,0.4584489626,1.104403307
+1 SEM (all tasks),p50,29.67067245,188.2134209,1.804026668,0.9356851261
+1 SEM (all tasks),p80,7.073758445,194.3488594,1.754828163,0.9206072581
−1 SEM (all tasks),p50,9.083357635,215.2880455,0.5522833846,1.070284048
−1 SEM (all tasks),p80,2.190279215,232.736728,0.5433552307,1.102445992
