scenario,quantile,gmean_frontier_horizon_min,doubling_days,horizon_vs_baseline,doubling_vs_baseline
baseline,p50,49.35201942,128.7438021,1,1
baseline,p80,8.93215989,133.4053125,1,1
+1σ̃ (all tasks),p50,126.1129883,125.4922295,2.555376451,0.9747438518
+1σ̃ (all tasks),p80,22.00462483,129.2716365,2.46352787,0.9690141579
−1σ̃ (all tasks),p50,19.37941315,132.3197114,0.3926772071,1.02777539
−1σ̃ (all tasks),p80,3.632207615,138.2745668,0.4066438196,1.036499703
+1 SEM (all tasks),p50,108.9067525,122.3999977,2.206733458,0.9507253606
+1 SEM (all tasks),p80,18.71852977,127.2078297,2.095633084,0.9535439582
−1 SEM (all tasks),p50,22.4496321,134.001342,0.4548878114,1.040837227
−1 SEM (all tasks),p80,4.094210136,139.5203676,0.4583673139,1.045838168
