noise_model,agent,quantile,naive_horizon_min,simex_horizon_min,pct_change
metr_global,Claude 3 Opus,p50,7.148401968,8.006056586,11.99785102
metr_global,Claude 3 Opus,p80,1.57821605,1.969158926,24.77118871
metr_global,Claude 3.5 Sonnet (New),p50,30.45455526,32.85234187,7.873326647
metr_global,Claude 3.5 Sonnet (New),p80,5.90763132,7.772091754,31.56020295
metr_global,Claude 3.5 Sonnet (Old),p50,19.76460099,21.7290349,9.939152891
metr_global,Claude 3.5 Sonnet (Old),p80,4.192070559,5.438104002,29.7235799
metr_global,Claude 3.7 Sonnet,p50,55.25844491,57.54510781,4.138123871
metr_global,Claude 3.7 Sonnet,p80,20.37879406,25.56231671,25.43586547
metr_global,Claude 4 Opus,p50,83.56779346,86.86190182,3.94183958
metr_global,Claude 4 Opus,p80,26.88671009,34.87218705,29.70046143
metr_global,Claude 4 Sonnet,p50,73.66073349,76.496197,3.849355522
metr_global,Claude 4 Sonnet,p80,21.94867379,28.92973329,31.80629303
metr_global,Claude 4.1 Opus,p50,109.2630376,109.0936598,-0.1550183992
metr_global,Claude 4.1 Opus,p80,27.28986364,36.12066014,32.35925472
metr_global,Claude Opus 4.5,p50,246.781803,205.7588018,-16.62318727
metr_global,Claude Opus 4.5,p80,36.03928647,44.67325741,23.95710843
metr_global,Claude Sonnet 4.5,p50,116.5284127,114.0867657,-2.095323333
metr_global,Claude Sonnet 4.5,p80,26.095319,34.85773054,33.57848025
metr_global,DeepSeek-R1,p50,27.88761597,30.22697697,8.388529876
metr_global,DeepSeek-R1,p80,5.62946119,7.377671033,31.05465663
metr_global,DeepSeek-R1-0528,p50,32.76428221,34.8751515,6.442592812
metr_global,DeepSeek-R1-0528,p80,4.671541227,6.093209396,30.43252964
metr_global,DeepSeek-V3,p50,19.82281199,21.96565218,10.80997081
metr_global,DeepSeek-V3,p80,5.424592748,7.219493013,33.0882031
metr_global,DeepSeek-V3-0324,p50,24.59434806,26.92186785,9.463636854
metr_global,DeepSeek-V3-0324,p80,7.452729322,9.892168217,32.73215474
metr_global,GPT-2,p50,0.05377793191,0.05983591958,11.26482082
