noise_model,lambda,agent,quantile,mean_log2_horizon
per_task (b),0.0,Claude 3 Opus,p50,2.8376207624580343
per_task (b),0.0,Claude 3.5 Sonnet (New),p50,4.9285861306746925
per_task (b),0.0,Claude 3.5 Sonnet (Old),p50,4.3048469245875625
per_task (b),0.0,Claude 3.7 Sonnet,p50,5.788123057065152
per_task (b),0.0,Claude 4 Opus,p50,6.384875138304328
per_task (b),0.0,Claude 4 Sonnet,p50,6.202823857547168
per_task (b),0.0,Claude 4.1 Opus,p50,6.771661627382697
per_task (b),0.0,Claude Opus 4.5,p50,7.947092207887639
per_task (b),0.0,Claude Sonnet 4.5,p50,6.864537954996427
per_task (b),0.0,DeepSeek-R1,p50,4.8015527031539005
per_task (b),0.0,DeepSeek-R1-0528,p50,5.034052021469365
per_task (b),0.0,DeepSeek-V3,p50,4.309089726889878
per_task (b),0.0,DeepSeek-V3-0324,p50,4.620254907756254
per_task (b),0.0,GPT-2,p50,-4.216841914084593
per_task (b),0.0,GPT-4 0125,p50,2.6660426862715805
per_task (b),0.0,GPT-4 0314,p50,2.590749181519172
per_task (b),0.0,GPT-4 1106,p50,3.2318218457963184
per_task (b),0.0,GPT-4 Turbo,p50,2.95929822908197
per_task (b),0.0,GPT-4o,p50,3.3469366410000294
per_task (b),0.0,GPT-5,p50,7.031401021598931
per_task (b),0.0,GPT-5.1-Codex-Max,p50,7.342107557143826
per_task (b),0.0,Gemini 2.5 Pro Preview,p50,5.328487585075327
per_task (b),0.0,Grok 4,p50,6.712148790141397
per_task (b),0.0,Kimi K2 Thinking,p50,5.848540916479129
per_task (b),0.0,Qwen2-72B,p50,1.3429156130133675
per_task (b),0.0,Qwen2.5-72B,p50,2.5394809123538944
per_task (b),0.0,davinci-002 (GPT-3),p50,-2.7952918354629412
per_task (b),0.0,gpt-3.5-turbo-instruct,p50,-0.7387767013691282
per_task (b),0.0,gpt-oss-120b,p50,5.495381250964804
per_task (b),0.0,human,p50,6.850556676381371
per_task (b),0.0,o1,p50,5.376835794563938
per_task (b),0.0,o1-preview,p50,4.539452158849721
per_task (b),0.0,o3,p50,6.514813432516033
per_task (b),0.0,o4-mini,p50,6.262063040445657
per_task (b),0.0,Claude 3 Opus,p80,0.6582947167323279
per_task (b),0.0,Claude 3.5 Sonnet (New),p80,2.562579793631072
per_task (b),0.0,Claude 3.5 Sonnet (Old),p80,2.0676629997632157
per_task (b),0.0,Claude 3.7 Sonnet,p80,4.34899677598992
per_task (b),0.0,Claude 4 Opus,p80,4.748821330462996
per_task (b),0.0,Claude 4 Sonnet,p80,4.456061865452624
per_task (b),0.0,Claude 4.1 Opus,p80,4.770293280747175
per_task (b),0.0,Claude Opus 4.5,p80,5.171498543141547
