noise_model,lambda,agent,quantile,mean_log2_horizon
per_task (b),0.0,Claude 3 Opus (Inspect),p50,1.9826785692951427
per_task (b),0.0,Claude 3.5 Sonnet (New) (Inspect),p50,4.359160704332649
per_task (b),0.0,Claude 3.5 Sonnet (Old) (Inspect),p50,3.510376708117211
per_task (b),0.0,Claude 3.7 Sonnet (Inspect),p50,5.91621236359729
per_task (b),0.0,Claude 4 Opus (Inspect),p50,6.649128587523157
per_task (b),0.0,Claude 4.1 Opus (Inspect),p50,6.6506497437298995
per_task (b),0.0,Claude Opus 4.5 (Inspect),p50,8.194730234431045
per_task (b),0.0,Claude Opus 4.6 (Inspect),p50,9.489460306905862
per_task (b),0.0,GPT-4 0314,p50,1.9954584102038109
per_task (b),0.0,GPT-4 1106 (Inspect),p50,2.0161250456345523
per_task (b),0.0,GPT-4 Turbo (Inspect),p50,1.900253163765679
per_task (b),0.0,GPT-4o (Inspect),p50,2.8055391419210323
per_task (b),0.0,GPT-5 (Inspect),p50,7.665425298676173
per_task (b),0.0,GPT-5.1-Codex-Max (Inspect),p50,7.805516210509477
per_task (b),0.0,GPT-5.2,p50,8.46045303924596
per_task (b),0.0,GPT-5.3-Codex,p50,8.44927549693632
per_task (b),0.0,Gemini 3 Pro,p50,7.8094522843373575
per_task (b),0.0,human,p50,6.7336970538815635
per_task (b),0.0,o1 (Inspect),p50,5.279158794410452
per_task (b),0.0,o1-preview,p50,4.345296052578428
per_task (b),0.0,o3 (Inspect),p50,6.903672610751966
per_task (b),0.0,Claude 3 Opus (Inspect),p80,-0.6461738908286055
per_task (b),0.0,Claude 3.5 Sonnet (New) (Inspect),p80,1.3761107918051092
per_task (b),0.0,Claude 3.5 Sonnet (Old) (Inspect),p80,0.7413652492540136
per_task (b),0.0,Claude 3.7 Sonnet (Inspect),p80,3.595955930059975
per_task (b),0.0,Claude 4 Opus (Inspect),p80,4.352599773504491
per_task (b),0.0,Claude 4.1 Opus (Inspect),p80,4.551870402545402
per_task (b),0.0,Claude Opus 4.5 (Inspect),p80,5.627332040985494
per_task (b),0.0,Claude Opus 4.6 (Inspect),p80,6.1266959454559595
per_task (b),0.0,GPT-4 0314,p80,-0.168835148654448
per_task (b),0.0,GPT-4 1106 (Inspect),p80,-0.35285603826547207
per_task (b),0.0,GPT-4 Turbo (Inspect),p80,-0.10790799738307175
per_task (b),0.0,GPT-4o (Inspect),p80,0.3414267431729614
