task_id,task_source,human_source,human_minutes,n_successful_runs,log_time_std,degrees_of_freedom,log_time_std_shrunken,sem_log,metr_sem_log,gsem_factor,sem_source
acdc_bug/fix_checkpointing,HCAST,baseline,877.018,1,,0,0.8892021218,0.8892021218,0.78,2.433187489,prior_only
ai_rd_fix_embedding/main,RE-Bench,baseline,455.249,6,1.158205814,5,0.8892021218,0.3630152461,0.3184336666,1.437657778,empirical_shrunken
ai_rd_nanogpt_chat_rl/main,RE-Bench,estimate,480,8,0.355916142,7,0.8892021218,1.05,1.05,2.857651118,metr_estimate_assumption
ai_rd_optimize_llm_foundry/main,RE-Bench,baseline,483.331,6,0.4633552737,5,0.8892021218,0.3630152461,0.3184336666,1.437657778,empirical_shrunken
ai_rd_restricted_mlm/main,RE-Bench,baseline,479.196,6,0.9801918851,5,0.8892021218,0.3630152461,0.3184336666,1.437657778,empirical_shrunken
ai_rd_rust_codecontests_inference/main,RE-Bench,estimate,480,11,1.037353809,10,0.8892021218,1.05,1.05,2.857651118,metr_estimate_assumption
ai_rd_small_scaling_law/main,RE-Bench,estimate,480,6,0.2833274972,5,0.8892021218,1.05,1.05,2.857651118,metr_estimate_assumption
ai_rd_triton_cumsum/main,RE-Bench,baseline,492.963,4,0,3,0.8892021218,0.4446010609,0.39,1.559867779,empirical_shrunken
alert_triage/alert_triage_1,SWAA,baseline,0.1696162735,4,0.3642001389,3,0.3382587425,0.1691293712,0.39,1.18427334,empirical_shrunken
alert_triage/alert_triage_10,SWAA,baseline,0.0948365178,4,0.2621159453,3,0.2821108386,0.1410554193,0.39,1.151488461,empirical_shrunken
alert_triage/alert_triage_11,SWAA,baseline,0.1005509975,4,0.4949144898,3,0.4190447928,0.2095223964,0.39,1.233088992,empirical_shrunken
alert_triage/alert_triage_3,SWAA,baseline,0.0851312872,4,0.4421591839,3,0.3855727385,0.1927863692,0.39,1.212623712,empirical_shrunken
alert_triage/alert_triage_4,SWAA,baseline,0.0985183025,4,0.4842843722,3,0.4122229767,0.2061114883,0.39,1.228890203,empirical_shrunken
alert_triage/alert_triage_5,SWAA,baseline,0.0819728262,4,0.2763390144,3,0.2894111558,0.1447055779,0.39,1.155699257,empirical_shrunken
alert_triage/alert_triage_6,SWAA,baseline,0.085147315,4,0.6187441701,3,0.5007272199,0.25036361,0.39,1.284492386,empirical_shrunken
alert_triage/alert_triage_7,SWAA,baseline,0.069189755,4,0.8464632365,3,0.6576482412,0.3288241206,0.39,1.389333479,empirical_shrunken
alert_triage/alert_triage_8,SWAA,baseline,0.0705176306,4,0.4058782532,3,0.3631863885,0.1815931942,0.39,1.199126283,empirical_shrunken
alert_triage/alert_triage_9,SWAA,baseline,0.106453287,4,0.3609234646,3,0.3363399332,0.1681699666,0.39,1.183137687,empirical_shrunken
arithmetic/complex_1,SWAA,baseline,0.4612036401,3,0.4440979533,2,0.372874977,0.2152794684,0.45033321,1.240208448,empirical_shrunken
arithmetic/complex_10,SWAA,baseline,0.4043179951,3,0.7703428388,2,0.5611293698,0.3239681927,0.45033321,1.38260333,empirical_shrunken
arithmetic/complex_2,SWAA,baseline,0.2820306099,3,0.9319283587,2,0.6610106677,0.3816346869,0.45033321,1.464676922,empirical_shrunken
arithmetic/complex_3,SWAA,baseline,0.7203701405,3,0.7507209818,2,0.5492002174,0.3170808933,0.45033321,1.373113643,empirical_shrunken
arithmetic/complex_4,SWAA,baseline,0.1691079557,3,0.4799128573,2,0.3920741382,0.2263641092,0.45033321,1.254032187,empirical_shrunken
arithmetic/complex_5,SWAA,baseline,0.4299560256,3,1.286482874,2,0.8865631726,0.5118574863,0.45033321,1.668387325,empirical_shrunken
arithmetic/complex_6,SWAA,baseline,0.0775021752,3,0.4138006646,2,0.3570726148,0.2061559703,0.45033321,1.228944868,empirical_shrunken
arithmetic/complex_7,SWAA,baseline,0.1577322208,3,0.4864300269,2,0.3956223158,0.2284126505,0.45033321,1.256603757,empirical_shrunken
arithmetic/complex_8,SWAA,baseline,0.1732389399,3,1.466573809,2,1.00300737,0.5790865752,0.45033321,1.784407764,empirical_shrunken
arithmetic/complex_9,SWAA,baseline,0.1720399438,3,0.9464712534,2,0.670118033,0.3868928268,0.45033321,1.472398681,empirical_shrunken
