noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,0,Claude 3 Opus,p50,2.837620762
per_task,0,Claude 3.5 Sonnet (New),p50,4.928586131
per_task,0,Claude 3.5 Sonnet (Old),p50,4.304846925
per_task,0,Claude 3.7 Sonnet,p50,5.788123057
per_task,0,Claude 4 Opus,p50,6.384875138
per_task,0,Claude 4 Sonnet,p50,6.202823858
per_task,0,Claude 4.1 Opus,p50,6.771661627
per_task,0,Claude Opus 4.5,p50,7.947092208
per_task,0,Claude Sonnet 4.5,p50,6.864537955
per_task,0,DeepSeek-R1,p50,4.801552703
per_task,0,DeepSeek-R1-0528,p50,5.034052021
per_task,0,DeepSeek-V3,p50,4.309089727
per_task,0,DeepSeek-V3-0324,p50,4.620254908
per_task,0,GPT-2,p50,-4.216841914
per_task,0,GPT-4 0125,p50,2.666042686
per_task,0,GPT-4 0314,p50,2.590749182
per_task,0,GPT-4 1106,p50,3.231821846
per_task,0,GPT-4 Turbo,p50,2.959298229
per_task,0,GPT-4o,p50,3.346936641
per_task,0,GPT-5,p50,7.031401022
per_task,0,GPT-5.1-Codex-Max,p50,7.342107557
per_task,0,Gemini 2.5 Pro Preview,p50,5.328487585
per_task,0,Grok 4,p50,6.71214879
per_task,0,Kimi K2 Thinking,p50,5.848540916
per_task,0,Qwen2-72B,p50,1.342915613
per_task,0,Qwen2.5-72B,p50,2.539480912
per_task,0,davinci-002 (GPT-3),p50,-2.795291835
per_task,0,gpt-3.5-turbo-instruct,p50,-0.7387767014
per_task,0,gpt-oss-120b,p50,5.495381251
per_task,0,human,p50,6.850556676
per_task,0,o1,p50,5.376835795
per_task,0,o1-preview,p50,4.539452159
per_task,0,o3,p50,6.514813433
per_task,0,o4-mini,p50,6.26206304
per_task,0,Claude 3 Opus,p80,0.6582947167
per_task,0,Claude 3.5 Sonnet (New),p80,2.562579794
per_task,0,Claude 3.5 Sonnet (Old),p80,2.067663
per_task,0,Claude 3.7 Sonnet,p80,4.348996776
per_task,0,Claude 4 Opus,p80,4.74882133
per_task,0,Claude 4 Sonnet,p80,4.456061865
per_task,0,Claude 4.1 Opus,p80,4.770293281
per_task,0,Claude Opus 4.5,p80,5.171498543
per_task,0,Claude Sonnet 4.5,p80,4.705719133
per_task,0,DeepSeek-R1,p80,2.492996845
per_task,0,DeepSeek-R1-0528,p80,2.2238986
per_task,0,DeepSeek-V3,p80,2.439514831
per_task,0,DeepSeek-V3-0324,p80,2.897768863
per_task,0,GPT-2,p80,-6.287720045
per_task,0,GPT-4 0125,p80,0.9365799984
per_task,0,GPT-4 0314,p80,0.4515686045
per_task,0,GPT-4 1106,p80,1.007331923
per_task,0,GPT-4 Turbo,p80,1.317687513
per_task,0,GPT-4o,p80,1.247541039
per_task,0,GPT-5,p80,5.043709621
per_task,0,GPT-5.1-Codex-Max,p80,5.32333531
per_task,0,Gemini 2.5 Pro Preview,p80,3.651416503
per_task,0,Grok 4,p80,4.21655651
per_task,0,Kimi K2 Thinking,p80,3.907365932
per_task,0,Qwen2-72B,p80,-0.7486588319
per_task,0,Qwen2.5-72B,p80,0.406411886
per_task,0,davinci-002 (GPT-3),p80,-4.152318397
per_task,0,gpt-3.5-turbo-instruct,p80,-1.969283575
per_task,0,gpt-oss-120b,p80,3.062159679
per_task,0,human,p80,3.28689063
per_task,0,o1,p80,2.93464805
per_task,0,o1-preview,p80,2.682237338
per_task,0,o3,p80,4.770864447
per_task,0,o4-mini,p80,4.332548715
per_task,0.5,Claude 3 Opus,p50,2.739240296
per_task,0.5,Claude 3.5 Sonnet (New),p50,4.8823622
per_task,0.5,Claude 3.5 Sonnet (Old),p50,4.235825868
per_task,0.5,Claude 3.7 Sonnet,p50,5.781902523
per_task,0.5,Claude 4 Opus,p50,6.384258265
per_task,0.5,Claude 4 Sonnet,p50,6.198722557
per_task,0.5,Claude 4.1 Opus,p50,6.795623833
per_task,0.5,Claude Opus 4.5,p50,8.087840913
per_task,0.5,Claude Sonnet 4.5,p50,6.901171327
per_task,0.5,DeepSeek-R1,p50,4.75122072
per_task,0.5,DeepSeek-R1-0528,p50,4.998294343
per_task,0.5,DeepSeek-V3,p50,4.233639036
per_task,0.5,DeepSeek-V3-0324,p50,4.5577412
per_task,0.5,GPT-2,p50,-4.236599265
per_task,0.5,GPT-4 0125,p50,2.543422567
per_task,0.5,GPT-4 0314,p50,2.489091121
per_task,0.5,GPT-4 1106,p50,3.138665174
per_task,0.5,GPT-4 Turbo,p50,2.833349545
per_task,0.5,GPT-4o,p50,3.249676031
per_task,0.5,GPT-5,p50,7.070348881
