noise_model,lambda,agent,quantile,mean_log2_horizon
per_task,0,Claude 3 Opus (Inspect),p50,1.982678569
per_task,0,Claude 3.5 Sonnet (New) (Inspect),p50,4.359160704
per_task,0,Claude 3.5 Sonnet (Old) (Inspect),p50,3.510376708
per_task,0,Claude 3.7 Sonnet (Inspect),p50,5.916212364
per_task,0,Claude 4 Opus (Inspect),p50,6.649128588
per_task,0,Claude 4.1 Opus (Inspect),p50,6.650649744
per_task,0,Claude Opus 4.5 (Inspect),p50,8.194730234
per_task,0,Claude Opus 4.6 (Inspect),p50,9.489460307
per_task,0,GPT-4 0314,p50,1.99545841
per_task,0,GPT-4 1106 (Inspect),p50,2.016125046
per_task,0,GPT-4 Turbo (Inspect),p50,1.900253164
per_task,0,GPT-4o (Inspect),p50,2.805539142
per_task,0,GPT-5 (Inspect),p50,7.665425299
per_task,0,GPT-5.1-Codex-Max (Inspect),p50,7.805516211
per_task,0,GPT-5.2,p50,8.460453039
per_task,0,GPT-5.3-Codex,p50,8.449275497
per_task,0,Gemini 3 Pro,p50,7.809452284
per_task,0,human,p50,6.733697054
per_task,0,o1 (Inspect),p50,5.279158794
per_task,0,o1-preview,p50,4.345296053
per_task,0,o3 (Inspect),p50,6.903672611
per_task,0,Claude 3 Opus (Inspect),p80,-0.6461738908
per_task,0,Claude 3.5 Sonnet (New) (Inspect),p80,1.376110792
per_task,0,Claude 3.5 Sonnet (Old) (Inspect),p80,0.7413652493
per_task,0,Claude 3.7 Sonnet (Inspect),p80,3.59595593
per_task,0,Claude 4 Opus (Inspect),p80,4.352599774
per_task,0,Claude 4.1 Opus (Inspect),p80,4.551870403
per_task,0,Claude Opus 4.5 (Inspect),p80,5.627332041
per_task,0,Claude Opus 4.6 (Inspect),p80,6.126695945
per_task,0,GPT-4 0314,p80,-0.1688351487
per_task,0,GPT-4 1106 (Inspect),p80,-0.3528560383
per_task,0,GPT-4 Turbo (Inspect),p80,-0.1079079974
per_task,0,GPT-4o (Inspect),p80,0.3414267432
per_task,0,GPT-5 (Inspect),p80,5.259740667
per_task,0,GPT-5.1-Codex-Max (Inspect),p80,5.6619918
per_task,0,GPT-5.2,p80,6.044452018
per_task,0,GPT-5.3-Codex,p80,5.774507892
per_task,0,Gemini 3 Pro,p80,5.758698905
per_task,0,human,p80,3.616931319
per_task,0,o1 (Inspect),p80,2.825810186
per_task,0,o1-preview,p80,2.144224172
per_task,0,o3 (Inspect),p80,4.906005606
per_task,0.5,Claude 3 Opus (Inspect),p50,1.864508651
per_task,0.5,Claude 3.5 Sonnet (New) (Inspect),p50,4.28332655
per_task,0.5,Claude 3.5 Sonnet (Old) (Inspect),p50,3.419711663
per_task,0.5,Claude 3.7 Sonnet (Inspect),p50,5.871974078
per_task,0.5,Claude 4 Opus (Inspect),p50,6.631616956
per_task,0.5,Claude 4.1 Opus (Inspect),p50,6.622248747
per_task,0.5,Claude Opus 4.5 (Inspect),p50,8.32543303
per_task,0.5,Claude Opus 4.6 (Inspect),p50,9.816459611
per_task,0.5,GPT-4 0314,p50,1.877686216
per_task,0.5,GPT-4 1106 (Inspect),p50,1.895676255
per_task,0.5,GPT-4 Turbo (Inspect),p50,1.770859944
per_task,0.5,GPT-4o (Inspect),p50,2.696699924
per_task,0.5,GPT-5 (Inspect),p50,7.729239617
per_task,0.5,GPT-5.1-Codex-Max (Inspect),p50,7.870838258
per_task,0.5,GPT-5.2,p50,8.630678694
per_task,0.5,GPT-5.3-Codex,p50,8.623125987
per_task,0.5,Gemini 3 Pro,p50,7.869581556
per_task,0.5,human,p50,6.797992961
per_task,0.5,o1 (Inspect),p50,5.21991908
per_task,0.5,o1-preview,p50,4.26732831
per_task,0.5,o3 (Inspect),p50,6.882122274
per_task,0.5,Claude 3 Opus (Inspect),p80,-0.8826767839
per_task,0.5,Claude 3.5 Sonnet (New) (Inspect),p80,1.125175432
per_task,0.5,Claude 3.5 Sonnet (Old) (Inspect),p80,0.5001483495
per_task,0.5,Claude 3.7 Sonnet (Inspect),p80,3.36480235
per_task,0.5,Claude 4 Opus (Inspect),p80,4.112106193
per_task,0.5,Claude 4.1 Opus (Inspect),p80,4.317635002
per_task,0.5,Claude Opus 4.5 (Inspect),p80,5.421448394
per_task,0.5,Claude Opus 4.6 (Inspect),p80,6.014579162
per_task,0.5,GPT-4 0314,p80,-0.4012731311
per_task,0.5,GPT-4 1106 (Inspect),p80,-0.5905348848
per_task,0.5,GPT-4 Turbo (Inspect),p80,-0.3566142638
per_task,0.5,GPT-4o (Inspect),p80,0.09974742337
per_task,0.5,GPT-5 (Inspect),p80,5.025744101
per_task,0.5,GPT-5.1-Codex-Max (Inspect),p80,5.41270661
per_task,0.5,GPT-5.2,p80,5.840194417
per_task,0.5,GPT-5.3-Codex,p80,5.576532831
per_task,0.5,Gemini 3 Pro,p80,5.497399708
per_task,0.5,human,p80,3.421877799
per_task,0.5,o1 (Inspect),p80,2.585986899
per_task,0.5,o1-preview,p80,1.902394552
per_task,0.5,o3 (Inspect),p80,4.65664244
per_task,1,Claude 3 Opus (Inspect),p50,1.73300601
per_task,1,Claude 3.5 Sonnet (New) (Inspect),p50,4.205345725
per_task,1,Claude 3.5 Sonnet (Old) (Inspect),p50,3.317220392
per_task,1,Claude 3.7 Sonnet (Inspect),p50,5.838561995
per_task,1,Claude 4 Opus (Inspect),p50,6.636705844
per_task,1,Claude 4.1 Opus (Inspect),p50,6.619692547
per_task,1,Claude Opus 4.5 (Inspect),p50,8.492714157
per_task,1,Claude Opus 4.6 (Inspect),p50,10.14362635
per_task,1,GPT-4 0314,p50,1.739854554
per_task,1,GPT-4 1106 (Inspect),p50,1.756382144
per_task,1,GPT-4 Turbo (Inspect),p50,1.617794905
per_task,1,GPT-4o (Inspect),p50,2.571592018
per_task,1,GPT-5 (Inspect),p50,7.821066634
per_task,1,GPT-5.1-Codex-Max (Inspect),p50,7.968509538
per_task,1,GPT-5.2,p50,8.821438177
per_task,1,GPT-5.3-Codex,p50,8.813704578
per_task,1,Gemini 3 Pro,p50,7.96760158
per_task,1,human,p50,6.851875994
per_task,1,o1 (Inspect),p50,5.164878576
per_task,1,o1-preview,p50,4.182455784
per_task,1,o3 (Inspect),p50,6.889586426
per_task,1,Claude 3 Opus (Inspect),p80,-1.137559476
per_task,1,Claude 3.5 Sonnet (New) (Inspect),p80,0.8634496491
per_task,1,Claude 3.5 Sonnet (Old) (Inspect),p80,0.2243984608
per_task,1,Claude 3.7 Sonnet (Inspect),p80,3.113787578
per_task,1,Claude 4 Opus (Inspect),p80,3.859327035
per_task,1,Claude 4.1 Opus (Inspect),p80,4.065840826
per_task,1,Claude Opus 4.5 (Inspect),p80,5.220301166
per_task,1,Claude Opus 4.6 (Inspect),p80,5.921258624
