agent,condition,p50_median,ci_lower,ci_upper,ci_logwidth
Claude 3 Opus,metr,7.140251961,3.27809704,14.75129549,1.504067825
Claude 3.5 Sonnet (New),metr,30.42905177,14.91472267,60.97554634,1.40812408
Claude 3.5 Sonnet (Old),metr,19.894706,10.51842262,35.82826172,1.22560876
Claude 3.7 Sonnet,metr,56.04885343,29.20782865,92.32086299,1.150833373
Claude 4 Opus,metr,84.57561265,43.11427811,142.2113428,1.19346006
Claude 4 Sonnet,metr,75.50190462,37.85872327,133.6402402,1.261289992
Claude 4.1 Opus,metr,109.4329024,55.95166471,205.3610366,1.300281396
Claude Opus 4.5,metr,244.3172484,97.14369147,873.5942954,2.196424837
Claude Sonnet 4.5,metr,118.4934004,59.7151809,226.6596896,1.333863453
DeepSeek-R1,metr,28.28121844,15.09281806,53.52071215,1.265849717
DeepSeek-R1-0528,metr,33.75412232,13.88783022,64.28150484,1.532259019
DeepSeek-V3,metr,19.94029998,10.07353635,34.04274813,1.217705211
DeepSeek-V3-0324,metr,24.71911965,12.35819554,43.46793703,1.257704137
GPT-2,metr,0.05474192692,0.009289345434,0.1390511833,2.705973999
GPT-4 0125,metr,6.447098496,3.227668278,11.29246249,1.252375486
GPT-4 0314,metr,6.122562508,2.817081028,11.69284211,1.423275617
GPT-4 1106,metr,9.459611757,4.454569017,17.77206971,1.383697793
GPT-4 Turbo,metr,7.91670255,4.108552457,13.72919869,1.20645409
GPT-4o,metr,10.36561729,4.938449608,19.37605297,1.366986483
GPT-5,metr,133.4894463,65.84781198,247.3733355,1.323552475
GPT-5.1-Codex-Max,metr,169.7589438,80.04730565,330.0734516,1.41669743
Gemini 2.5 Pro Preview,metr,40.45245342,20.23525609,70.32110256,1.245645498
Grok 4,metr,107.1198078,45.25543392,214.3594599,1.555331575
Kimi K2 Thinking,metr,58.04109496,26.42372543,100.7741837,1.338619911
Qwen2-72B,metr,2.525504072,0.9958066849,5.854199174,1.771361343
Qwen2.5-72B,metr,5.763280457,2.618262598,12.73162103,1.581577776
davinci-002 (GPT-3),metr,0.1438306816,0.09345592304,0.2224509863,0.8672168773
gpt-3.5-turbo-instruct,metr,0.5566888572,0.2511059133,1.090358662,1.468387153
gpt-oss-120b,metr,45.55508469,19.83132411,84.45174672,1.448917613
human,metr,116.3486371,51.52936948,252.1965306,1.588056741
o1,metr,42.44939676,20.29116782,87.16754766,1.457646393
o1-preview,metr,23.38967441,13.0038465,39.0988327,1.100847414
o3,metr,92.02510272,45.63824931,158.1694842,1.242920977
o4-mini,metr,78.78114564,36.30022357,143.4756016,1.374341097
Claude 3 Opus,metr+x,6.673946526,3.045991249,13.61697149,1.497490537
Claude 3.5 Sonnet (New),metr+x,30.28288103,14.39094451,62.3147459,1.465598934
Claude 3.5 Sonnet (Old),metr+x,19.52389967,10.1521482,37.12450672,1.296591982
Claude 3.7 Sonnet,metr+x,57.4068816,28.43528583,98.61581359,1.243600797
Claude 4 Opus,metr+x,87.15269532,42.72290068,150.0030001,1.255920202
Claude 4 Sonnet,metr+x,77.15337249,37.31574733,143.5407127,1.347203289
Claude 4.1 Opus,metr+x,113.2929264,55.63029246,214.66205,1.35033705
Claude Opus 4.5,metr+x,258.7720936,96.42433129,917.7617596,2.253179267
Claude Sonnet 4.5,metr+x,121.7881747,60.80832401,235.3946065,1.353536595
DeepSeek-R1,metr+x,27.84035061,14.45929724,54.40352261,1.32509129
DeepSeek-R1-0528,metr+x,33.31737634,13.71647128,67.41686927,1.592297879
DeepSeek-V3,metr+x,19.11850787,9.829674853,35.64531791,1.288211947
DeepSeek-V3-0324,metr+x,23.84394456,11.63641619,44.72311977,1.346351082
GPT-2,metr+x,0.05218830019,0.008949093331,0.1452949782,2.787213785
GPT-4 0125,metr+x,5.85259373,2.873755584,10.51987373,1.297646464
GPT-4 0314,metr+x,5.640062415,2.432281968,11.25553993,1.532030547
GPT-4 1106,metr+x,8.999388842,4.058743109,16.94253105,1.428953744
GPT-4 Turbo,metr+x,7.155150815,3.738975151,13.028368,1.248317584
GPT-4o,metr+x,9.818211301,4.468805299,19.22977218,1.45933861
GPT-5,metr+x,136.425497,67.25511023,259.0655355,1.348588058
GPT-5.1-Codex-Max,metr+x,172.0443565,82.28878805,346.9252411,1.438874448
Gemini 2.5 Pro Preview,metr+x,40.242292,20.2243131,74.42501503,1.30290661
Grok 4,metr+x,109.535589,44.54231128,218.7697513,1.59158026
Kimi K2 Thinking,metr+x,58.98331903,26.41398537,111.6019179,1.441044616
Qwen2-72B,metr+x,2.355339005,0.9453369702,5.226311157,1.709919538
Qwen2.5-72B,metr+x,5.324965649,2.514272972,11.86334347,1.55146958
davinci-002 (GPT-3),metr+x,0.1433031519,0.09266196783,0.2275448683,0.8983893254
gpt-3.5-turbo-instruct,metr+x,0.5545978393,0.2432768074,1.103325824,1.511884454
gpt-oss-120b,metr+x,45.86602738,18.78721312,91.33422312,1.581349074
human,metr+x,118.0724857,51.87605963,260.5741181,1.614029938
o1,metr+x,43.00263063,19.36386524,89.58316447,1.531758693
o1-preview,metr+x,22.62019585,12.66957789,42.44150811,1.20892317
o3,metr+x,95.7150937,43.83533385,165.403536,1.32794796
o4-mini,metr+x,80.56373332,35.39053797,151.8318717,1.456329306
Claude 3 Opus,x_only,6.822582357,6.069165732,7.609979497,0.2262393233
Claude 3.5 Sonnet (New),x_only,30.40034328,27.89073832,32.84084308,0.1633782829
Claude 3.5 Sonnet (Old),x_only,19.46628386,17.63584224,21.27426479,0.1875647944
Claude 3.7 Sonnet,x_only,56.94896167,52.41260435,62.49113083,0.1758775366
