agent,condition,p50_median,ci_lower,ci_upper,ci_logwidth
Claude 3 Opus (Inspect),metr,3.892612889,1.575895127,8.464148857,1.681016016
Claude 3.5 Sonnet (New) (Inspect),metr,19.46927308,9.822637732,41.58540334,1.44305953
Claude 3.5 Sonnet (Old) (Inspect),metr,11.22512374,5.395813172,22.61310028,1.432906082
Claude 3.7 Sonnet (Inspect),metr,57.99667781,33.56579367,101.9431867,1.110908162
Claude 4 Opus (Inspect),metr,99.49346917,59.3778546,164.5954245,1.019569151
Claude 4.1 Opus (Inspect),metr,98.45382016,60.4023891,156.0285405,0.9490102836
Claude Opus 4.5 (Inspect),metr,293.5437376,158.4471024,655.0168161,1.41924011
Claude Opus 4.6 (Inspect),metr,695.6389812,316.3964133,4707.975887,2.700017447
GPT-4 0314,metr,3.998769676,1.916809841,7.904433659,1.416761561
GPT-4 1106 (Inspect),metr,4.028605269,1.870501222,8.218221963,1.480147452
GPT-4 Turbo (Inspect),metr,3.814475653,1.888117484,6.86324396,1.290599918
GPT-4o (Inspect),metr,7.057709401,3.797392479,12.7308078,1.209710225
GPT-5 (Inspect),metr,205.6891391,113.7859789,393.5322929,1.240843824
GPT-5.1-Codex-Max (Inspect),metr,221.3496997,138.6962903,399.6345124,1.05826383
GPT-5.2,metr,352.1419993,195.5382135,892.7785977,1.518582793
GPT-5.3-Codex,metr,345.3665773,192.1935694,879.7072996,1.5210862
Gemini 3 Pro,metr,223.6630287,137.60444,384.9789996,1.028805594
human,metr,106.4775217,53.9514792,205.2517993,1.336152405
o1 (Inspect),metr,39.34873511,20.23852722,67.88902609,1.210286327
o1-preview,metr,20.47617933,11.16514884,33.26158896,1.09160603
o3 (Inspect),metr,119.5847636,72.53502357,190.9642104,0.9680165014
Claude 3 Opus (Inspect),metr+x,3.785362602,1.438430831,8.121923628,1.731014208
Claude 3.5 Sonnet (New) (Inspect),metr+x,19.657174,9.591334163,40.27358103,1.434835697
Claude 3.5 Sonnet (Old) (Inspect),metr+x,11.01564048,5.158013078,22.95815425,1.493121735
Claude 3.7 Sonnet (Inspect),metr+x,58.35015477,33.17128727,104.3400255,1.145970381
Claude 4 Opus (Inspect),metr+x,101.0106093,59.37421195,171.1724976,1.058811816
Claude 4.1 Opus (Inspect),metr+x,100.7227414,61.83803844,161.7914898,0.9617897224
Claude Opus 4.5 (Inspect),metr+x,301.2788365,160.7546991,706.6750426,1.480691336
Claude Opus 4.6 (Inspect),metr+x,717.0390614,328.2128554,4804.403387,2.683625801
GPT-4 0314,metr+x,3.857380438,1.743117842,7.586595608,1.470707581
GPT-4 1106 (Inspect),metr+x,3.911298572,1.674476441,8.098442526,1.576171218
GPT-4 Turbo (Inspect),metr+x,3.632637868,1.763037199,6.717232369,1.337638217
GPT-4o (Inspect),metr+x,6.852213725,3.675054455,12.00221116,1.183522946
GPT-5 (Inspect),metr+x,211.4235481,117.4376211,395.7139572,1.214784312
GPT-5.1-Codex-Max (Inspect),metr+x,225.8058307,142.0340413,417.3009024,1.077740794
GPT-5.2,metr+x,357.2368188,201.6780359,926.5605977,1.524806904
GPT-5.3-Codex,metr+x,353.3081794,194.4868931,927.9398948,1.562602189
Gemini 3 Pro,metr+x,228.7595521,138.7317909,385.5696456,1.022179332
human,metr+x,108.5562021,53.0947866,208.2870966,1.366838658
o1 (Inspect),metr+x,38.97041572,19.93688323,68.2586917,1.230733332
o1-preview,metr+x,20.27583125,10.96623052,33.27625212,1.110023395
o3 (Inspect),metr+x,121.2649639,73.57541079,191.9112117,0.9587219489
Claude 3 Opus (Inspect),x_only,3.813830226,3.444853832,4.201339023,0.198521815
Claude 3.5 Sonnet (New) (Inspect),x_only,20.34001684,18.94987539,21.81595767,0.1408443494
Claude 3.5 Sonnet (Old) (Inspect),x_only,11.16923891,10.40989256,12.02967264,0.1446197562
Claude 3.7 Sonnet (Inspect),x_only,60.89854083,57.77614399,64.72566781,0.1135818865
Claude 4 Opus (Inspect),x_only,101.7064168,96.86039839,107.3735665,0.1030432796
Claude 4.1 Opus (Inspect),x_only,101.8441773,97.02734745,107.7053927,0.1044067829
Claude Opus 4.5 (Inspect),x_only,298.6579496,287.0502849,314.2870656,0.09064938085
Claude Opus 4.6 (Inspect),x_only,736.181133,708.4458015,784.4449388,0.1019028246
GPT-4 0314,x_only,3.821775811,3.372847025,4.249780608,0.2311101577
GPT-4 1106 (Inspect),x_only,3.893326106,3.459979825,4.279566985,0.2125890746
GPT-4 Turbo (Inspect),x_only,3.553184155,3.190317832,3.906270171,0.2024624523
GPT-4o (Inspect),x_only,6.782771022,6.222914003,7.402598853,0.1735928485
GPT-5 (Inspect),x_only,206.2725675,198.4639409,217.6241667,0.09216214349
GPT-5.1-Codex-Max (Inspect),x_only,227.5225282,219.682196,237.8427544,0.07942782119
GPT-5.2,x_only,359.0081339,346.1654413,376.3621613,0.08363505978
GPT-5.3-Codex,x_only,356.7915941,343.8007199,373.7949234,0.083645127
Gemini 3 Pro,x_only,228.0104048,220.5531109,238.806767,0.07951618702
human,x_only,109.0319066,102.2468291,117.7303316,0.1410068998
o1 (Inspect),x_only,38.89497412,36.55803119,41.75615477,0.1329459665
o1-preview,x_only,20.11072198,18.48834447,22.05562985,0.1764273862
o3 (Inspect),x_only,121.5302047,116.1025904,128.5542058,0.1018764507
