metr,metr+x,x_only
178.7398336,175.6245854,199.6893611
220.7062407,220.0680396,199.8655648
193.710993,191.7748945,201.175481
192.2802341,191.8653076,198.8195239
202.5234278,200.3991267,200.0614464
192.4096366,190.6769613,201.6341514
198.6276555,197.2604938,200.6943334
197.6939321,201.730878,198.6155337
196.1440536,188.7015656,198.3322918
178.1133149,177.1528794,201.5205768
204.2504894,201.4151095,201.6934902
207.511018,204.3434093,197.7103197
217.8127045,218.2237121,201.3371863
112.4604423,114.8477466,198.7856425
196.4890048,194.8870031,199.3311589
193.5478717,194.5668805,198.5351519
222.9676121,222.9840839,198.9255095
198.0529151,197.8449155,201.6863282
194.2621528,193.1572197,200.6607385
208.8011604,205.0971184,201.5368094
217.2820727,219.8363528,200.947667
203.5276,198.1655503,199.7066333
208.4396437,206.9669744,198.3920742
222.365436,226.9588449,200.2141574
210.6569278,208.6136168,198.0852361
199.3427971,194.9402371,200.847965
214.702288,210.130186,201.0370058
205.7887514,203.8220434,200.2895771
203.7327409,203.5331968,199.3604795
204.1534874,201.7334318,200.0481714
198.1615709,198.6036555,199.9733963
196.5606064,197.1947002,199.8475078
191.2036112,190.6392002,199.4048972
167.292209,162.9145468,200.5200783
249.4286307,246.4604324,200.8336088
190.9224752,189.7620004,198.8826444
196.9302096,193.2603613,199.4653908
186.9461443,184.1211292,202.212835
199.6527055,198.8429027,199.7870535
191.6743755,190.883322,200.956962
95.27162036,90.60103137,198.4024261
199.5005556,198.9980719,198.6795655
199.5113728,199.588361,198.8448487
207.3482842,207.8458732,199.1303559
185.2125875,185.4981481,200.3807166
195.6873934,195.5572435,199.5676511
210.2352718,211.6516657,200.9617873
215.9252562,213.1980851,199.3113798
188.7371377,186.3601288,199.0688906
190.7828091,187.4354568,199.2953206
203.30723,201.1820337,199.1792679
190.7637524,189.1910595,199.9121161
201.5787857,199.5632251,200.1317814
202.8809879,202.3645797,200.0335993
196.6789878,189.7441566,200.235684
204.7633214,203.7722614,201.2347156
214.0703052,212.9349694,201.9434865
209.2858591,213.0063654,201.359797
180.3560275,178.6303056,197.8531377
204.51181,203.8287524,201.3809286
200.9314879,197.4073037,200.0711816
172.2325208,171.4238078,197.1042272
204.29039,201.8291494,199.2771241
190.5560652,188.8724125,199.652049
173.2094422,169.7028382,199.9275275
216.4364995,218.522005,199.1438829
190.7754756,192.3546299,200.8984586
181.8838964,178.2391329,201.7412517
209.0545441,209.654313,199.3366982
193.1035666,193.3497516,199.2541842
171.4484275,170.1848099,200.4688974
171.0176064,173.5490298,200.0604955
198.0392018,196.1956243,201.2498824
202.7219455,199.6836156,201.8735321
217.1970229,217.4402255,198.9869363
196.2182633,196.1427859,199.8390386
