metr,metr+x,x_only
142.8560819,136.7084772,127.0011176
152.1892086,146.164797,128.2183472
127.4470476,126.5892129,127.4435523
147.6345587,146.5708874,126.1856705
120.7752518,121.1098942,126.2209742
145.7868084,142.4690696,124.6191266
106.9835324,105.1613099,127.6838268
148.0085236,146.2562075,125.4284243
129.6948587,126.9548742,126.5574965
139.1375437,137.0444696,126.4368962
120.7412999,119.2337121,123.8721116
107.4644421,110.2218929,127.9274871
134.9230917,133.5554182,127.4046876
114.6662749,115.927973,128.4713161
124.5173235,121.6224329,127.9489051
117.3320955,115.6915503,125.1147567
118.8174551,117.6296759,125.6686022
113.5224873,111.7680211,127.1780911
123.9654129,120.731085,126.3459431
123.2691948,123.485268,126.7505231
112.3119764,112.4280107,127.2943558
110.6359749,109.5546988,126.6309513
118.8326721,111.8924097,127.072699
130.9582639,127.8801836,127.6462891
132.8609608,133.3040104,124.3551672
143.6576237,139.0588656,128.6106998
122.2000445,120.0463417,127.0530011
132.3121051,129.7658378,127.075891
115.5625496,112.9308862,125.1836147
133.9738974,132.128412,128.4408624
164.4875806,160.6811843,129.3009829
136.8978007,132.6056478,125.3022466
120.2531487,115.9525009,129.7079818
119.3243004,122.4751116,127.3891651
115.6176255,115.6464595,126.4812863
133.8767799,125.8402547,126.729702
147.4442183,151.8205793,123.8609976
113.4147349,111.4160783,129.4621708
119.4837019,117.6023074,128.1020879
111.6418367,110.0364331,126.68419
114.5073008,113.1372434,128.4561098
127.5413816,124.5120569,127.1728552
139.8304999,139.5922976,124.9840772
118.6629404,117.372253,130.1624318
117.7012232,114.1355507,125.3270974
166.8222236,164.7444671,126.7149567
129.3703357,128.6157855,124.2209728
122.1617272,122.7942121,129.2899386
125.3135052,122.0224495,127.3131673
142.8756747,141.110563,129.3199813
130.5362137,127.2996823,127.1321566
109.9663246,108.0950357,126.4149481
146.6708199,141.9328385,125.5135332
143.0660968,140.871057,128.410259
139.8039396,137.8315498,124.6548686
151.165978,148.9378625,128.752065
149.1946062,144.7282759,127.7005053
131.3395895,130.0169176,125.7741339
115.8728249,115.7851774,125.9214948
133.6893316,129.4789203,125.8100635
125.1837807,123.715737,125.9291873
117.8206218,116.3974713,125.4381199
129.396188,128.4544801,127.3199598
135.7718907,134.7762203,127.3836678
119.8208385,119.8471549,127.0277058
124.7833902,124.8379104,124.9396288
105.2797896,104.1024684,129.8013097
145.9046168,146.300297,128.4689743
136.4759859,133.7681664,125.8982694
135.3330303,133.2753354,125.396655
114.2948519,114.6394965,123.9009435
131.5327262,132.1253786,127.8214761
120.6705852,119.9686445,125.8226498
121.107096,120.6181697,125.9681951
125.5661574,120.6356954,126.7190586
121.9716485,122.4223949,128.1204433
115.1475806,114.7816376,128.4153019
120.9140754,121.4296872,128.6769473
132.1890556,130.5611889,126.0610023
127.141675,125.329071,126.5937234
132.8928758,130.5622489,128.4306299
130.2511098,128.1792703,129.2675446
132.5255045,127.2043288,129.5677646
131.0272315,129.6535873,127.223108
123.0411864,123.1473556,126.1267193
129.141672,130.5544704,126.3358665
131.7193249,129.9585479,126.2244529
136.0786717,133.319666,128.433116
