Claude 3 Opus (Inspect),Claude 3.5 Sonnet (New) (Inspect),Claude 3.5 Sonnet (Old) (Inspect),Claude 3.7 Sonnet (Inspect),Claude 4 Opus (Inspect),Claude 4.1 Opus (Inspect),Claude Opus 4.5 (Inspect),Claude Opus 4.6 (Inspect),GPT-4 0314,GPT-4 1106 (Inspect),GPT-4 Turbo (Inspect),GPT-4o (Inspect),GPT-5 (Inspect),GPT-5.1-Codex-Max (Inspect),GPT-5.2,GPT-5.3-Codex,Gemini 3 Pro,human,o1 (Inspect),o1-preview,o3 (Inspect)
8.11797976,25.99987069,22.2967748,61.29534933,112.4641747,93.99001162,280.5265912,707.6955538,5.786552346,6.850362969,4.029468996,10.8511242,254.4535278,251.5907375,343.316529,315.5943674,288.2501301,150.7438359,56.92418366,33.26822526,142.6630703
3.474071225,20.50472141,14.46999718,70.19000468,89.51358557,93.47112603,203.6599814,228.3190891,3.417923919,3.537470784,4.661028854,7.387197558,102.0975638,130.5982272,144.2467465,164.880422,160.4194369,94.23963677,32.88617563,17.84162969,71.75289052
3.771426875,37.34797795,16.20478041,78.31191029,143.2445157,136.0981335,391.1344512,942.8580347,5.87767338,5.91651443,5.409287309,7.229575295,334.7651254,527.06523,652.739386,582.1738438,262.4736536,127.7104767,50.54555569,23.12974182,202.1573586
8.54039157,26.19745035,14.30555144,76.22188156,101.0497748,86.11987533,253.5162283,658.3333747,6.099600231,5.220603333,5.801134197,9.015720708,134.4134802,158.0469698,207.867751,339.9430124,216.6458689,129.7731114,33.3275856,22.73252521,113.2201833
4.096108689,22.61337619,11.88785181,55.61857281,95.53020492,78.80758788,214.8957685,2784.639506,5.057772256,3.257059919,3.977838955,6.651944825,201.2004412,221.6438668,416.5379122,520.8099614,267.781013,91.74546918,34.88549848,24.43595743,114.3001555
6.966086539,33.29004406,17.43778931,74.8886119,120.8511475,134.2459327,322.6160899,407.904005,5.801407984,5.570027286,5.230805631,10.6199263,267.2033032,257.7517647,331.052747,297.0977369,227.7380456,120.0700538,53.77894045,32.28856833,127.5624271
1.850980596,8.731199696,6.73220331,44.74426879,79.05390382,70.49125701,436.4527601,2059.318561,2.500268728,1.990458975,2.187393041,6.695239976,248.7473003,230.969689,307.0918891,479.7631937,253.2964202,123.3310118,25.21082512,19.31211431,143.2657407
3.706050508,20.11170029,12.58248101,62.17839454,119.3926749,93.05607152,180.1455137,521.9714711,5.468292621,5.085591705,4.450332328,6.598399701,161.0168642,156.4494177,243.6289474,281.872703,161.8129458,73.12412387,36.51004498,23.20825149,113.2552739
3.415698082,17.40257224,12.44129885,56.57914375,94.87850869,106.8245741,299.977023,871.4941341,3.16340336,3.751939203,4.074659652,8.367884937,149.7989448,210.8979693,234.0864536,543.2610392,192.5127276,169.9763042,36.83849859,20.52273142,101.8626795
3.114279255,15.53074685,9.987842772,42.83325202,75.71026165,64.6600514,157.2054588,274.0896453,2.642775294,3.279700152,2.766181207,6.556415568,128.6869236,143.6536322,198.3595817,181.5243813,177.1647475,103.5412674,28.98817011,13.37604176,94.65173259
4.210918761,18.89246632,7.444560094,68.29012487,98.93467405,98.74892213,324.0234857,1754.658531,4.387777415,3.838663862,3.936842534,7.430294056,212.61637,190.332901,330.1511967,311.534523,230.4395679,69.13504944,37.32880338,15.2539762,114.9091405
2.30099228,17.71424164,13.02915725,48.02961272,91.26617096,79.39319106,364.1270195,1873.854963,3.046902468,1.985358814,2.486598999,6.418255007,267.7699955,306.989137,655.4427525,436.5488809,310.0638345,93.94778181,29.87689894,13.95961614,129.0538304
