Claude 3 Opus (Inspect),Claude 3.5 Sonnet (New) (Inspect),Claude 3.5 Sonnet (Old) (Inspect),Claude 3.7 Sonnet (Inspect),Claude 4 Opus (Inspect),Claude 4.1 Opus (Inspect),Claude Opus 4.5 (Inspect),Claude Opus 4.6 (Inspect),GPT-4 0314,GPT-4 1106 (Inspect),GPT-4 Turbo (Inspect),GPT-4o (Inspect),GPT-5 (Inspect),GPT-5.1-Codex-Max (Inspect),GPT-5.2,GPT-5.3-Codex,Gemini 3 Pro,human,o1 (Inspect),o1-preview,o3 (Inspect)
7.688798379,26.37514053,22.06817156,62.63158727,117.1774312,98.14946363,296.4195585,786.4831895,5.019382332,6.071797702,3.796687432,10.01111091,268.2493376,259.5484999,361.6553147,331.9351492,303.2434256,154.6791184,58.18365474,32.50710767,148.5871472
3.162501079,20.18813017,14.25143076,75.62657335,96.49386256,100.9398263,220.7262955,246.1613055,3.211367715,3.230097804,4.390716355,7.096278489,110.6288931,142.2543533,156.9235449,178.999905,176.7727929,104.762876,33.787285,17.48280769,77.17015949
3.767773061,38.87447748,16.6978816,82.20794974,148.5681418,141.3394013,417.6742325,945.4846435,5.870272285,5.86354659,5.414316984,7.350769318,350.3387642,547.0624788,679.8805005,592.6091966,270.7173603,132.980898,52.69852454,24.19859862,208.9780595
8.466705631,26.19285565,14.17488555,76.73434184,101.8148274,86.68563899,256.6710657,668.6923581,5.959117987,5.221116795,5.680652709,8.885219599,135.6988252,159.8013116,210.4392474,344.5993623,219.2408255,130.9793964,33.21784504,22.51181677,114.2519417
4.352620108,23.22547598,12.28426156,56.13871215,95.12596654,78.99578523,213.3738109,3279.628328,5.451850171,3.377837488,4.182253498,7.013821157,204.9607455,221.3240942,416.5910606,503.4638814,270.3162126,93.40526074,35.51254817,25.11366956,114.0112278
6.046428034,29.58621299,15.21552991,66.50036005,109.6919303,121.6598134,311.3426831,390.9551256,5.096589184,4.941892559,4.619979362,9.160305147,252.5708986,256.0807659,316.7906583,283.6681844,215.6290633,111.2485837,47.00994527,27.67576713,115.7522933
1.65494759,8.271718205,6.349309388,43.60031096,77.25584751,68.95752546,443.3539262,2225.627534,2.398724332,1.90194224,1.821412453,5.913234172,249.2545938,229.004025,309.5997403,487.9805305,254.1719622,122.3802041,23.34136671,17.67307746,142.6576615
3.775289555,21.13425552,13.19891083,65.46158786,125.9668835,98.22973423,191.0895407,561.8528615,5.514284863,5.249053178,4.452299866,6.622723989,169.8266017,166.3853659,255.9978054,294.0710001,172.3745873,78.12608038,37.65691236,23.3489031,121.2772775
3.251671988,17.18488845,12.13806016,57.65004949,98.37609776,110.8266389,321.1738272,924.6928979,3.030463255,3.626153573,3.908175718,8.088393377,157.2010164,222.3466459,245.0259389,530.0240798,199.8987825,178.8868329,36.85866136,20.28397137,106.2274113
3.023561625,15.36922577,9.709742943,43.93074783,78.66088858,67.15129421,164.6458556,286.7451683,2.715066312,3.285121071,2.460828474,5.835021255,134.8351204,150.8349306,207.7557107,190.3463008,185.6594529,111.8395345,29.36301774,13.07359287,98.90347739
4.086728199,18.77258315,7.270675846,69.18973194,100.6323023,100.4412676,334.3680149,1796.589538,4.240792295,3.726116233,3.793183965,7.23443914,217.5331376,194.9910452,337.9474787,319.1827281,235.7362775,70.68283485,37.27126749,14.82699743,117.2915879
2.638326875,19.61345787,14.17671086,51.35531838,95.33300545,83.18533443,367.7764093,2005.420663,3.583482867,2.255468005,2.863321917,7.450209887,269.5536956,304.333034,660.4095628,442.4251269,309.5749726,98.05382072,34.53385295,16.65383857,133.9983724
3.941428222,12.93800408,8.9596672,43.31011402,93.11578116,95.79587944,199.5508631,493.1866366,3.080366388,4.735285276,4.505700711,7.051983637,187.9027502,212.8238359,341.7499226,244.2262263,157.3447531,128.3397869,45.92177564,19.30456501,117.3839659
2.651688797,11.78051653,8.794358237,56.26443771,111.9040604,108.0454993,264.4957084,896.3279358,2.293815671,3.443848501,2.898912725,5.581016918,219.6188882,188.9047429,342.5347331,421.4077348,263.2327289,286.5437632,32.95098567,12.03550201,122.3294063
3.468275094,26.70406639,9.114280817,95.55803817,115.4957043,118.3969681,332.4960099,775.0601812,3.705722211,3.977204082,2.785273541,4.877188135,239.8716717,338.0347698,439.3540021,346.2277053,245.6893466,157.4670419,56.3426281,21.57387275,145.7887124
3.224623182,14.78751061,12.07805615,58.33733262,96.81219364,96.22137448,303.8720548,1765.432064,2.63475154,3.259438165,3.770229649,6.613513458,166.8909786,233.5361709,497.2727196,520.3099176,171.5828808,84.60462827,35.74204757,15.95822245,112.3500034
4.415197663,17.15017827,11.48671615,59.95600424,106.610856,135.5027948,387.0537664,855.8195413,3.744767466,4.721949083,2.805749288,5.366401916,391.0746331,288.67685,621.9881774,659.9049627,265.954748,91.66641705,36.67186006,16.16629117,149.0429268
1.794205672,9.552357651,5.186091453,57.8841505,116.8943145,124.6992771,348.4237217,806.358405,2.143337752,3.229157086,2.055747246,4.648178277,236.3868279,256.6531118,412.454738,403.7830798,231.0452439,56.86502741,41.43569443,15.01282673,114.2685872
1.062539974,15.58178882,6.860630846,39.82374848,70.76723474,85.02146724,219.4434806,554.5316249,2.419838902,1.606554582,2.907482627,4.742940863,174.0498197,186.4423128,234.5662735,235.8915713,150.6410927,97.28256235,34.34084569,14.78361586,110.9218326
1.738779507,13.80688608,8.796004184,54.66693673,102.9443973,86.67769447,234.8138015,557.3343854,2.900683455,2.51330703,2.333332798,6.638124777,186.740872,167.8983834,297.125464,289.461208,267.8952211,103.9334101,33.53763775,21.45254201,101.9027683
2.339689096,21.59917968,10.14373124,80.7560341,186.0856459,127.6135001,467.7657369,814.7295517,2.532829349,3.182359782,2.348129554,8.341816374,294.5226339,240.1808349,571.5281352,406.5846903,358.4157651,103.9362092,45.84396106,21.47120018,140.8167231
1.755051473,13.67939825,9.186137323,82.61068265,113.516225,123.5859168,249.1950504,797.6657657,1.923778843,1.937881303,2.440611464,5.378838253,275.672438,286.7285359,429.5382189,505.878514,278.8640483,190.5973467,41.65503171,18.94799886,207.6247038
1.391216416,11.86281304,7.825513529,73.32169983,120.6218326,146.536193,318.5313397,573.2485023,1.675145457,2.148639394,1.806201944,3.708976629,171.9602367,162.9150641,281.1406871,296.5045506,244.9597306,93.88354445,38.53937463,13.29718467,132.8799307
2.726047842,15.20175242,8.586714379,55.28070558,84.96853374,93.44784122,204.5389489,492.9027819,2.931718796,3.156294301,2.812269415,5.06735645,179.0977966,157.4117459,264.992121,238.6352756,193.6389665,55.75981685,29.0819191,15.30563266,99.60207434
2.856223695,14.48809075,10.0150764,49.94089114,134.6964635,116.9674072,255.9021574,532.7008767,3.435648057,5.525515984,4.004475455,9.690575306,220.2849084,246.1156434,321.8729103,307.2408408,211.4486569,127.7991752,46.2077687,17.44321881,141.8625579
6.623152011,20.32912574,14.2113811,85.68163433,102.2146929,111.2934065,317.8915676,634.386264,6.128343636,6.260159094,5.050423898,8.9082156,218.6418961,192.0000354,354.9649897,477.6872988,263.1217002,126.3506264,42.08739998,19.02549494,113.2146759
2.355766467,7.849564029,6.572066023,33.89709233,75.90325572,93.53040663,267.200666,481.7319295,2.490215307,2.740789819,2.836126535,2.906492022,186.7974092,158.5413025,250.2766604,280.6695854,203.949448,66.23348386,23.0251973,12.9310959,68.86292463
5.677288223,19.53922236,11.5028638,49.63332057,98.38331464,100.4057249,411.617723,1257.90087,5.440153906,6.302974326,5.543022928,8.976349317,253.3461404,295.8223926,386.9975485,756.8745258,213.5916835,379.9757558,42.29067227,26.25308425,185.1909954
1.771309568,9.476703771,5.505223209,50.52117591,93.90896829,85.62608464,230.6999199,916.5154795,1.736028548,3.058638897,2.335304146,3.7798042,126.231102,187.2313119,282.2130635,223.9678073,243.3703967,70.06102037,23.91047929,9.875467281,103.5483654
3.312314399,12.99226613,8.626646466,29.74252984,116.5116259,96.7895409,236.6601213,603.931655,3.619073948,4.704683679,3.14577429,6.297322746,215.7526957,217.3266024,399.245917,283.2291862,125.1706118,50.00308218,40.64437646,19.48921523,132.4538701
5.496106677,33.97852811,14.23063491,87.08930679,79.10129295,91.05855995,199.7894201,321.7212714,5.47969502,7.119543339,5.381548904,8.737178895,139.9524418,184.2480592,191.3996339,184.4826923,194.6432829,96.18101662,45.02545434,20.54601214,104.7115769
3.679760175,15.7379722,13.70898617,35.69629895,89.40950743,87.56392391,220.3789427,647.2281998,3.361006836,3.599126934,3.381735182,5.196142058,157.0940221,238.2900052,242.7123715,252.7190854,175.4073623,115.0375139,36.04445217,24.00675794,147.2536024
2.330313418,13.85729016,6.93928787,51.6354804,114.8419257,115.3901729,356.3369137,648.0761919,2.406289922,4.501403934,1.870655636,5.631498834,304.961112,274.8578805,499.1016941,376.1546306,242.2482881,92.81713228,42.67331751,15.16615091,135.1082166
4.176707095,17.18641768,15.01798605,37.98408684,76.22581388,85.74629583,466.129997,1584.594864,5.955483538,4.830712789,5.452831812,11.00164332,268.4968005,322.7225133,1100.170409,953.3456045,182.3707242,145.1234549,23.90360872,18.26449088,110.4400491
3.518866868,18.740501,8.01238817,79.91623347,106.3331926,101.0840305,370.1120423,1029.896541,3.209462471,3.368970702,2.562535564,4.479973587,190.6697209,240.7746451,354.7682293,445.6842021,319.4730507,85.30135841,40.86053454,15.32645202,129.4379856
3.44930494,31.42498067,17.41499324,67.00523196,110.6400978,107.8382757,345.8191867,983.4784474,3.399322024,4.267702097,3.512059006,11.01619007,219.8758985,215.4051226,419.4863478,396.3920128,265.7971803,93.94929928,61.7617344,22.7466121,135.3368507
4.778277397,19.55149471,10.39349818,44.66322128,98.57489162,112.9430497,198.786839,457.2012265,6.4481016,6.281007569,4.68815289,10.37847023,167.1415225,175.3905355,290.1505938,255.4852103,230.400809,84.87195606,51.01321439,27.85513296,119.5044384
