Claude 3 Opus,Claude 3.5 Sonnet (New),Claude 3.5 Sonnet (Old),Claude 3.7 Sonnet,Claude 4 Opus,Claude 4 Sonnet,Claude 4.1 Opus,Claude Opus 4.5,Claude Sonnet 4.5,DeepSeek-R1,DeepSeek-R1-0528,DeepSeek-V3,DeepSeek-V3-0324,GPT-2,GPT-4 0125,GPT-4 0314,GPT-4 1106,GPT-4 Turbo,GPT-4o,GPT-5,GPT-5.1-Codex-Max,Gemini 2.5 Pro Preview,Grok 4,Kimi K2 Thinking,Qwen2-72B,Qwen2.5-72B,davinci-002 (GPT-3),gpt-3.5-turbo-instruct,gpt-oss-120b,human,o1,o1-preview,o3,o4-mini
7.1121955,30.85647361,19.9677514,57.15660981,86.57933315,76.10483611,113.1892541,256.945284,120.1812204,28.07386039,33.19911681,19.59650618,24.67732383,0.05085027066,6.099339366,5.955752689,9.345345425,7.275870353,9.934444677,135.25195,168.3590047,40.80267769,108.3438822,59.27960336,2.497263291,5.672196127,0.1467454197,0.6095149413,46.00600602,119.7062234,42.28422977,23.11594351,94.43891761,78.99544804
6.191686719,28.55805961,17.90055183,56.02203313,86.02237249,74.92453805,112.2470028,261.7389846,119.2016073,26.33819751,31.4106643,17.7872213,22.69437001,0.05436072631,5.194815284,4.975301916,8.235375126,6.491169501,9.039625866,135.4490754,169.4355362,38.94220712,106.208984,57.51195103,2.304180019,5.231833758,0.143365696,0.5624248406,43.88375162,117.4283447,40.46595112,21.28128173,94.04018848,77.8597271
6.226909563,28.81185374,18.17547849,54.19659651,82.12796833,72.18844773,107.4194728,246.0945682,114.3434405,26.2418543,31.20261505,18.06545396,22.7650398,0.05158148742,5.389545534,5.26426189,8.461744578,6.63800975,9.102725791,128.8654276,160.0095997,38.59755529,102.5760675,56.09593645,2.274421017,5.101678559,0.1474046806,0.6006048562,43.41981117,112.8700013,39.87982347,21.47744463,89.87773906,75.08180581
7.393104289,31.08228308,20.16456772,56.74772052,85.83972816,75.54929687,112.3373868,254.9395999,119.1847268,28.5485884,33.44840257,20.31107734,25.23964475,0.04967331119,6.403165088,6.045913247,9.50840245,8.051975075,10.47557911,134.3610771,167.5780867,41.03349167,107.5525818,59.07027341,2.583836852,5.922262136,0.1363153168,0.6112615361,45.9899334,119.4206206,42.37873537,23.61076426,93.65137892,78.5056587
6.792715511,30.19925963,19.38881722,55.87509429,84.0074336,74.00512438,109.4533298,248.3018355,116.7543609,27.53628116,32.42973888,19.36326116,24.2929638,0.05063231145,5.995734203,5.701774515,8.991785111,7.462476479,9.896937325,131.1882562,162.6023841,40.23452214,105.3076535,58.12202037,2.393186346,5.601180121,0.1434455192,0.595906184,44.89281271,116.0722393,41.22633543,22.84116779,91.88276037,77.2169452
6.307510347,28.11823292,17.90430283,52.04873901,79.94534945,70.05684001,105.0345163,239.5739172,112.4472027,25.66020371,30.59659744,17.88084393,22.38919561,0.05213215068,5.570557464,5.370050898,8.358091655,6.728206461,9.056559785,126.7308449,158.3321096,37.17680004,100.6090902,54.41873852,2.30009665,5.257691267,0.1441716309,0.5784844686,42.24629098,110.1310422,38.76875795,21.15734459,87.88193735,73.22283168
6.679895331,29.93589601,19.15309615,56.16540718,85.36949313,74.82331714,111.3924618,252.8789826,118.4726876,27.23982985,32.15672912,19.08583255,23.84670724,0.05415025706,5.744746327,5.655809314,9.011923171,7.15185797,9.560239539,133.8300418,165.2537744,39.82330539,105.8569259,57.09738879,2.381367059,5.377079137,0.1440297117,0.597654682,44.73283261,116.1787396,41.07072758,22.46284512,93.27555373,77.70353418
7.094667255,32.65369738,20.8973934,62.45890655,93.06172582,81.76248373,120.0150602,268.0050562,128.187569,29.68590726,34.77582917,21.0670364,26.25535736,0.05373861589,6.026620791,5.960434322,9.427856749,7.502120489,10.20745557,143.5931232,176.7864765,44.3161082,114.9001956,62.8155956,2.380967032,5.590390386,0.1479559543,0.6030692451,48.57547924,124.0991117,44.6771821,24.97162157,101.2843462,84.88919669
7.427663835,32.33526314,20.78256269,60.11909045,89.93329099,79.25426254,116.7504961,263.6805871,124.4454109,29.45859547,34.4644885,20.68781952,26.03018025,0.05125505656,6.220064491,6.050746102,9.6926352,7.699130894,10.20754636,139.2991401,171.6476534,43.18881965,111.9735819,61.65020323,2.555250495,5.888196228,0.1434886125,0.5795296303,47.96578804,122.7202523,44.1917783,24.29106033,97.9749567,82.25456298
6.498401238,28.99647409,18.2907836,55.33692292,84.27951356,73.78624421,110.0343878,252.5781564,117.266959,26.34282975,31.38441281,17.93581973,22.7228276,0.05239776857,5.587900199,5.410787361,8.641856036,6.733016326,9.215152711,132.1931918,164.2296684,38.80183774,105.263951,57.18089102,2.396568065,5.209586741,0.1557778919,0.6219099279,43.8671294,116.1197073,40.22294602,21.49601531,92.40369872,76.96393891
6.620028397,29.9902991,18.65942169,56.15652251,85.8172492,75.21635737,112.4956642,257.6942416,119.6131552,27.0945006,32.27921299,18.72548915,23.45000307,0.05583779939,5.62805061,5.610975846,8.658752944,6.810796227,9.512380307,134.9883041,168.1827906,39.88020088,107.4634607,57.87337441,2.3748842,5.347310916,0.1536600393,0.6295277436,44.94745799,118.8873886,41.18047741,22.20344273,93.98286068,78.40662658
6.513511883,30.46792653,19.09896969,58.8626269,88.94743987,77.82274631,115.4711244,263.5917437,123.1351015,27.67407868,32.37864965,19.44803471,24.24435682,0.05059499323,5.547741532,5.377177807,8.660928617,7.052170717,9.549915934,138.5957505,171.1921982,41.46385425,109.7136097,59.30205957,2.231449447,5.334722757,0.1369118666,0.5573919418,45.78206284,119.1276251,41.86280487,22.99049205,97.1103956,80.87587344
6.900969488,29.57580762,19.03569281,53.54475009,81.87543398,71.89783706,107.7318354,246.3861328,115.0654005,26.8934618,31.72502467,19.01638848,23.63767491,0.05412362713,6.188222951,5.764051307,9.082441303,7.584074474,9.811669632,129.4697214,161.3638358,38.77910589,103.203932,56.00121301,2.466083416,5.535700109,0.1416335409,0.5851758065,43.74227441,114.7184715,40.26176386,22.19771726,89.87599678,75.18864318
6.86428397,30.87625526,19.69841609,59.14171683,90.27250314,78.81398042,117.8134524,267.1002379,125.4033452,28.12340899,33.34568314,19.73873049,24.46194662,0.05233912306,6.013525789,5.721180443,8.982020935,7.397093994,9.775732795,141.3936078,176.0122713,41.71299267,112.1404688,60.40843282,2.455115559,5.597604678,0.1461776728,0.5990504363,46.46862374,121.8096709,42.58744488,23.19929972,98.55660413,81.93301873
6.988237071,30.69271241,19.81222792,56.92696748,86.58242445,75.87948369,113.1980107,259.6334328,120.7582218,27.75862618,32.63192607,19.48113361,24.24884761,0.05183324006,6.045298174,5.785061028,9.235557315,7.317842552,9.769086954,135.9529821,168.8610817,40.52821388,108.1342959,58.53559671,2.393528854,5.421945232,0.1415964968,0.5895186104,45.44211983,118.2405959,41.77190479,22.75528033,94.69318754,78.9258244
6.614328471,30.60554403,19.45809694,58.19099794,86.96881903,76.61983474,113.1381508,256.9244282,120.4009457,27.76084951,32.76193857,19.73590413,24.73777351,0.05189846876,5.648633892,5.618465377,8.780311486,7.056057949,9.523412038,135.449574,167.9678189,41.74609208,108.5491589,59.69504088,2.261334747,5.286361115,0.1376573302,0.5448189201,46.11353407,118.9782678,42.27953344,23.25802005,94.92920476,79.76913647
7.12135852,31.13301275,19.94149862,59.40891239,89.64118525,78.60430596,116.6605393,266.2646466,124.3843101,28.65149295,34.03054141,20.37950322,25.29548261,0.05310073147,6.060601287,5.972954425,9.071098191,7.480865375,10.02846026,140.5484959,174.7440715,42.33658956,112.0401277,60.84683679,2.492839174,5.812813229,0.141519599,0.6165539872,47.04224487,121.3654187,43.2504175,23.9994667,97.96976798,82.01427992
6.155041992,28.63421506,17.98420331,55.15091789,83.20194408,73.00156136,108.4630587,248.1290875,115.5062685,25.96694485,30.91099296,17.66348821,22.52782639,0.05305408061,5.224340853,5.250870847,8.192361271,6.229436908,8.796529547,129.7993621,160.7208365,38.73461563,103.6006252,56.7480638,2.22134874,4.892357024,0.1531842125,0.5960362751,43.45847473,114.245924,39.83126427,21.26563309,90.79022407,75.91486532
6.719046238,30.05061339,19.23528417,56.73651015,86.16413916,75.46693282,112.2857797,256.2756827,120.1776491,27.33260522,32.5020914,19.18869638,23.921211,0.05380705336,5.954905744,5.766445943,8.917949137,7.243433126,9.658139218,134.9000303,167.4778334,40.27531512,107.6285726,58.50431069,2.414212964,5.418593103,0.1487099454,0.6019000366,45.11483215,117.6047385,41.34654034,22.66981391,94.48828247,78.8336225
6.642807945,29.59112766,18.80270772,56.33069313,85.68524033,74.99363269,111.9867549,256.0394249,119.1948953,26.76441575,31.96670407,18.29102405,23.14924803,0.05529882316,5.726683269,5.621097515,8.822147943,6.847552775,9.268628503,134.078392,166.8358074,39.70541884,106.5447495,57.99306577,2.425647472,5.220503114,0.1510936996,0.6175218879,44.45319737,118.1470024,40.76737493,21.70063679,93.65520097,77.99644614
6.303907135,28.50652595,17.95532879,52.53309915,80.6571289,70.78126137,105.9773238,243.038937,113.1114918,26.16681311,31.01274071,18.38057973,22.80669469,0.05177633834,5.542051643,5.31746691,8.331317583,6.894633622,9.162195416,127.8819006,159.7956244,37.91263018,101.4259598,54.95646905,2.273946188,5.283353077,0.141482726,0.5751688466,42.85037797,111.9045009,39.43306117,21.51370749,88.72162525,74.05205412
6.677252606,29.39726451,18.87970282,54.99359555,83.49658155,73.3116462,109.1910245,248.4687151,116.4582796,26.62419961,31.51264841,18.45049489,23.41271749,0.05044609288,5.766753618,5.553228504,8.814171876,6.986723124,9.323079927,130.9910625,163.1561642,39.00946911,105.1079364,57.36898439,2.370016877,5.297108299,0.1393521913,0.5757909247,44.03678577,116.2073666,40.39534113,21.88661895,91.67908281,76.6372563
