Claude 3 Opus (Inspect),Claude 3.5 Sonnet (New) (Inspect),Claude 3.5 Sonnet (Old) (Inspect),Claude 3.7 Sonnet (Inspect),Claude 4 Opus (Inspect),Claude 4.1 Opus (Inspect),Claude Opus 4.5 (Inspect),Claude Opus 4.6 (Inspect),GPT-4 0314,GPT-4 1106 (Inspect),GPT-4 Turbo (Inspect),GPT-4o (Inspect),GPT-5 (Inspect),GPT-5.1-Codex-Max (Inspect),GPT-5.2,GPT-5.3-Codex,Gemini 3 Pro,human,o1 (Inspect),o1-preview,o3 (Inspect)
3.807950184,20.0167046,10.82811837,59.44837806,99.84119801,99.966014,297.1187446,722.0300437,3.782849008,3.821219099,3.613861529,6.761944475,202.988841,226.7751675,357.5720258,353.0578372,225.3956421,106.6008856,38.23868282,19.86437377,119.4731172
3.952967982,20.12992209,11.23482125,59.93290385,99.98052841,100.0769117,292.3461493,722.2304641,3.920353261,4.047384454,3.667898759,6.736051823,203.2686044,224.2016275,350.7084019,354.3030601,225.7950745,106.7874193,38.25344469,19.93809655,119.4029461
3.891681496,20.40184081,11.28121574,61.07409748,102.1221757,102.2857925,300.7036711,726.7051397,3.872097196,4.001272828,3.567188009,6.840177651,207.5365049,229.7770022,362.4535141,359.5628554,229.3386095,110.1703297,39.14649309,20.03891084,122.2015152
3.598423281,19.64305321,10.78969445,59.66562394,100.0360763,100.188776,294.0831968,731.9453005,3.692591433,3.711224479,3.344261794,6.502703272,203.4269589,227.833357,352.9131325,358.9555792,227.2322527,108.5600336,37.7165233,19.26607499,119.8364546
3.656326393,19.2168622,10.54103571,59.00468286,99.17328891,99.32065874,293.2434249,718.8221211,3.678523222,3.73531212,3.368356575,6.425016276,203.3583947,223.5377802,355.1362317,348.6606457,224.1378575,106.1917509,37.30915197,19.15545893,118.7846015
3.449506068,19.25470673,10.44798936,58.43106935,98.47408454,98.8223545,293.1383888,716.5762862,3.388707769,3.505308577,3.171805689,6.236451651,201.5975861,223.3550212,354.8349971,349.0882789,223.7750905,103.4529557,36.54581173,18.49429883,118.2877759
3.734285833,19.51489932,10.64884535,57.80697347,96.8168674,96.81921684,286.3310755,703.206665,3.785545523,3.842059644,3.522853017,6.580906107,197.6003399,220.8512204,346.0168231,347.5016815,220.2815252,102.8773294,37.00436044,19.13641468,115.769574
3.665664107,19.84588302,10.755577,60.33068806,101.0743661,101.3269019,298.9067443,733.8401536,3.579195545,3.627003379,3.436015396,6.508636814,205.2836231,228.1249198,359.1593004,354.3370686,226.7112743,108.6084758,38.29179079,19.67363449,120.952843
3.689033753,20.40347862,11.28165465,61.71008572,102.4621916,102.5836803,296.8172814,722.9088676,3.696240005,3.732696655,3.411222924,6.730245989,206.1685729,227.6250352,356.5559556,354.3474695,227.5406349,110.0547658,39.09736253,20.13642994,122.2410324
3.699424826,19.92766834,10.97568439,60.12040328,100.6921964,100.9202466,294.9834214,732.5123073,3.706468543,3.826124709,3.349432012,6.42136813,204.6984282,225.5112525,355.2389284,352.7222039,226.5073921,108.1505731,38.07316456,19.51644166,120.5483719
3.48388193,19.33913818,10.61798843,58.88404691,99.48064095,99.7925061,298.7347978,753.467165,3.401249527,3.455035556,3.220893913,6.23208701,205.5607425,225.4543235,360.1114697,357.134738,227.7669113,105.0810426,36.71034567,18.4829572,119.6987419
3.876777973,19.97985447,10.87170765,59.27696738,99.17688072,99.21977513,291.6841218,726.0652459,3.894362058,3.939808285,3.650090893,6.854398244,202.1064202,224.8008888,351.6293417,356.4132986,224.5419177,105.6982697,38.37350845,20.10972884,118.4304779
3.903273102,20.51276427,11.15229637,61.66855523,103.0259089,103.1591999,302.6791759,764.3658809,3.970496073,4.066588213,3.626620102,6.83985989,210.0827468,231.2703217,365.7923068,356.7549518,229.8608531,112.5455325,40.01404728,20.99079575,122.9833255
3.89464291,19.83907315,11.12548156,59.13812482,98.61955446,98.75705153,285.4232447,715.6151975,3.905668477,3.968036391,3.65352744,6.755514472,200.4097712,222.0005293,343.3624217,349.8175179,222.5353774,105.7661265,37.93212781,19.7391746,117.8955412
3.978195114,21.08482694,11.52168207,63.86044818,106.459158,106.473136,309.0269992,767.1859472,4.125036183,4.139461427,3.700616506,7.226460008,215.1663761,239.4618467,368.7042459,372.3601017,236.726893,119.133955,41.58043304,21.75187503,126.8295245
3.5039251,19.33680357,10.60428028,59.02969043,99.52275745,99.62837572,297.427924,724.0080259,3.507032167,3.627619723,3.287399737,6.356308214,203.6616766,227.1954809,360.1649568,359.6425117,226.7218858,106.3123665,37.21627057,19.13927077,119.2904408
3.607385617,20.07283164,11.04891534,61.86272563,103.43568,103.6269592,301.3206582,743.3773163,3.660173986,3.684587146,3.298694233,6.552766872,208.7265844,231.9301228,360.4224317,361.1957278,230.879135,112.575866,39.41466332,20.54913767,123.6534451
3.791287381,20.84182819,11.6277574,62.52680657,103.5604705,103.8704046,298.8922525,736.9422541,3.820506645,3.84694835,3.495361646,6.853155873,207.0556731,227.6131647,356.8263695,356.4028523,228.9151912,110.9735828,39.57835411,20.43886585,123.5382952
3.713065295,19.89434769,10.90936545,58.97207601,98.57920434,98.69658532,290.9869777,727.6419038,3.634938712,3.707585023,3.407007993,6.476044753,201.808679,221.8652595,351.0071895,347.099963,223.026539,103.9197287,37.41345488,19.32374056,117.9417172
3.706815306,19.90145729,11.17229783,59.00905853,98.54336559,98.65004114,290.1511839,725.9553285,3.63483321,3.769141316,3.4749615,6.627131238,200.8410828,220.7379086,349.259742,353.4717381,222.9210888,104.2856897,37.49992966,19.35932327,117.8287625
3.749482998,20.1284301,11.02645122,59.83640171,99.97237197,100.1283277,294.3496764,711.5925231,3.771164251,3.863777722,3.584337001,6.685665166,202.2292626,223.7091075,355.7325033,349.9956889,224.449005,105.8108677,38.23529042,19.80410927,119.4955792
3.816615417,20.14504295,11.11672329,60.38602734,101.63268,101.7480849,299.682733,738.2610305,3.773020271,3.93474174,3.530959828,6.623813964,207.5754627,228.1607147,362.0540473,364.8025013,230.7912809,108.1448523,38.31621692,19.67608745,121.7460106
3.784650647,19.93028269,11.01114727,59.54977055,99.67607676,99.64864273,296.3758956,743.2177228,3.866235333,3.880796463,3.61577074,6.727063962,205.5925542,225.6765241,359.4315054,360.5130003,226.7844399,107.0752309,37.95101537,19.54289921,119.0208785
3.884765057,20.49056641,11.0908615,61.21865983,101.9948904,102.0336468,297.5870954,735.8932865,3.891079899,3.946767284,3.705324176,6.939536087,204.9316154,227.5888218,357.4589305,361.586094,227.9008098,110.5744536,39.75016304,20.82838582,121.435363
3.432763546,19.06729833,10.37969286,58.65041447,99.4387925,99.56624208,298.9410177,726.3757081,3.450764464,3.521095084,3.166610258,6.215603953,203.4366462,228.9226041,361.3041411,362.2642264,227.8159531,106.3440084,36.76237927,18.55254843,119.4485616
4.031394807,20.49853129,11.36695442,59.9179921,99.31819406,99.4164118,290.9968968,725.8378999,3.929018889,4.010373238,3.786435938,7.015997943,201.9832955,222.1063096,350.0893908,347.0992319,222.6217954,105.1714048,38.72110999,20.4541284,118.4292908
4.051202773,21.78160252,11.85978833,64.72125683,108.0259052,108.347519,319.8496051,801.1937999,4.113594572,4.156226064,3.801349263,7.226950916,219.7569397,238.910633,385.5981258,371.1306688,239.9294271,118.7768185,41.70958593,21.41623849,129.293272
3.687933162,20.01074348,10.95337216,60.21393586,100.9438188,101.0218573,297.3626443,720.0149917,3.784530689,3.831625194,3.540829122,6.844419582,204.5884182,229.0376285,357.0687918,354.4492672,227.3030275,108.1783806,38.59001726,20.19784429,120.6654978
3.692082825,20.53061394,11.1785412,63.01238958,105.4925915,105.9717288,310.0498775,766.2194378,3.734528448,3.692891032,3.442720962,6.643513031,213.9406287,232.9213068,373.5774292,363.1424245,234.4472931,113.8440364,39.68802564,20.16603138,126.451033
3.896575601,19.86390479,10.97698732,58.61716949,97.89579057,97.91340078,289.207033,723.5268414,3.945147223,3.986891031,3.640979437,6.937184072,201.5544298,223.9828226,349.7551421,347.4606309,222.5529448,104.8056937,37.73658615,19.93969093,117.1057817
4.021205047,21.12707522,11.67026937,63.05651283,104.3140805,104.4302061,298.392949,739.4116365,4.158099966,4.237286416,3.746790506,7.251514048,210.058927,232.1959024,356.2891151,359.5218285,230.7228138,115.1325707,41.08240977,21.75500097,124.1713828
3.903235159,20.93726938,11.36176089,63.47248204,107.0691956,107.4787685,322.4170682,820.3943258,3.915241154,3.949327218,3.57835821,6.788024712,219.1699065,238.5292694,384.4900594,369.624277,240.1004012,116.4944066,40.08058618,20.34417766,128.5716438
4.113252829,21.34823536,11.75968403,62.6675759,103.2885727,103.2594932,297.0744514,727.4934389,4.220662247,4.146776088,3.883531664,7.309824983,207.4681532,226.8823056,356.1809369,353.5113949,227.2120343,110.8143714,40.76897824,21.66899196,122.48869
3.913922513,20.21005665,11.12741003,60.28609095,100.8971583,101.0379726,297.7517521,725.5496385,3.850836282,3.909726886,3.739179197,6.890467512,205.5263305,229.723249,359.7263981,356.5365511,227.7410905,108.8630982,38.64585582,20.05340465,120.756738
3.823138499,20.42092335,11.16907163,60.9453404,102.454819,102.551049,301.9781782,752.1679405,3.794965998,3.923574951,3.614946094,6.767398383,209.8702304,230.519566,364.6610313,370.3606195,232.7782735,109.265265,38.79580553,19.73824628,122.7021458
3.670610575,19.96475909,10.8169872,60.17073346,100.4098225,100.5321143,294.506274,718.4439885,3.689673475,3.806560661,3.432553948,6.659724366,203.537355,225.8622258,355.1282645,349.9530269,224.8036005,108.7040491,38.55527417,19.96394917,119.8803694
3.589708827,20.3900777,10.81426462,62.18008458,104.6444527,105.0082773,312.3378329,782.6914348,3.540680625,3.583028085,3.271007175,6.435134754,213.1373635,235.3351844,374.8136126,360.1423796,234.3099576,113.3339075,39.17038091,19.737164,125.557652
