metr,metr+x_param,x_param_only
178.7398336,176.2905435,200.6231826
220.7062407,214.8274408,198.0852471
193.710993,180.4180375,196.2713195
192.2802341,190.3186554,196.0067917
202.5234278,193.4019204,195.628292
192.4096366,185.8039854,201.7248438
198.6276555,198.7079081,196.5115743
197.6939321,202.7689228,202.1057381
196.1440536,190.0201814,197.8291884
178.1133149,177.5170311,201.9899311
204.2504894,199.1922081,196.8311208
207.511018,207.285054,197.3748942
217.8127045,211.0047917,200.093198
112.4604423,103.9336988,193.7025445
196.4890048,192.3190249,192.8268766
193.5478717,185.695046,202.9037172
222.9676121,216.7501325,198.9251746
198.0529151,192.9635457,197.2982131
194.2621528,198.0549631,199.8930589
208.8011604,196.5752098,197.6651514
217.2820727,218.1958167,203.2864554
203.5276,204.2905791,195.5676014
208.4396437,212.1705587,198.2513279
222.365436,226.2009742,202.7328582
210.6569278,205.3815057,198.6190943
199.3427971,201.1898776,195.5971452
214.702288,214.707346,194.9040674
205.7887514,201.2889159,194.4338238
203.7327409,203.2794908,200.1044389
204.1534874,200.9140979,201.1914687
198.1615709,191.9231701,201.1287423
196.5606064,194.8580692,196.6678018
191.2036112,190.723047,200.5324747
167.292209,162.4269739,196.7810759
249.4286307,246.5886572,197.382406
190.9224752,197.3102167,196.002254
196.9302096,201.721671,197.7876177
186.9461443,185.561725,200.1394538
199.6527055,195.7175995,194.8737809
191.6743755,192.603672,194.1625687
95.27162036,78.04439055,200.6601334
199.5005556,207.271251,198.4108114
199.5113728,195.3064846,199.7165523
207.3482842,210.2392221,196.4338939
185.2125875,185.4702486,198.595734
195.6873934,187.847022,197.385063
210.2352718,210.6467241,197.6095984
215.9252562,214.4839434,197.6687414
188.7371377,184.6305485,196.8853686
190.7828091,190.2247667,197.7963747
203.30723,198.2267167,206.9851126
190.7637524,182.1000092,198.3474517
201.5787857,197.8116939,195.6911627
202.8809879,191.2365646,194.3217264
196.6789878,193.1640243,198.8160889
204.7633214,193.3883565,197.7613073
214.0703052,214.2714677,197.8938065
209.2858591,215.2331565,199.3915203
180.3560275,188.9878054,194.4984512
204.51181,205.7059777,196.6315729
200.9314879,200.0653732,194.9542445
172.2325208,179.0000462,197.2980688
204.29039,197.1682052,197.7269272
190.5560652,180.1171705,194.022261
173.2094422,178.3471237,199.8070578
216.4364995,216.0891601,200.8530564
190.7754756,198.532071,199.2533536
181.8838964,178.1122522,199.9898149
209.0545441,204.319168,201.0759085
193.1035666,193.3366306,196.688119
171.4484275,169.5122876,197.0785793
171.0176064,167.7002857,193.6013455
198.0392018,189.3815335,197.9090414
202.7219455,203.0346314,196.8944267
217.1970229,214.281586,194.5332828
196.2182633,196.2630237,199.0908857
201.2376277,188.7355037,193.5963434
198.7630664,198.9535009,198.4665515
209.6097344,213.395346,195.776373
185.893733,179.0056427,195.9651947
204.0647508,205.5378073,199.7885726
204.5632682,197.2479174,195.3623647
215.819907,212.2396236,202.4398154
196.0284808,200.563024,202.5117341
194.9097316,198.7968342,190.7339697
201.7391785,197.9689855,199.6283459
196.0393928,198.4499956,198.7451058
199.0071993,200.6987403,198.2670441
199.696751,195.0271421,199.1002268
192.4101662,186.6951359,201.7257745
183.7461872,176.8962672,202.1378759
168.7960479,172.0407857,201.6220426
198.6992633,192.008777,197.1560055
205.4480974,199.5025922,198.6533301
225.3482909,222.4663034,198.8362353
214.4135112,208.3907153,196.8456148
192.8108806,190.7511436,198.9762385
188.7505828,184.954552,197.7375582
188.2864512,184.9887395,200.2915686
190.2726424,189.1749887,198.9825827
194.2370088,187.639538,200.9196113
203.9897706,204.5574577,199.9706886
202.6174989,202.9001461,200.1305062
184.0470802,178.5043172,206.4689767
184.6931612,183.3845602,200.2566045
196.4141868,195.2193216,199.868804
195.0684572,191.7710861,199.9122354
189.4860356,189.9251472,197.8746283
205.3705477,206.6279867,201.7734869
198.5662503,206.2583232,203.358599
192.7537445,192.3124483,199.5873286
188.7867411,193.5104706,194.8137072
200.9956773,206.9665844,199.9824991
190.4766974,187.2398929,203.8122029
190.593149,181.501649,200.7407134
207.2919467,202.5151164,196.043249
149.9193961,112.3652206,201.1202093
195.8099268,196.5091187,201.9251522
201.5266641,202.722119,200.0653761
213.0101684,212.4188879,197.415269
191.4164799,180.7854424,194.7563998
200.4592158,198.7488661,195.0348321
203.8837768,202.9468343,193.4098274
201.2308498,205.8463418,201.8537038
196.7167074,190.9913956,199.4924395
197.3309906,191.5401709,198.6817103
219.3960116,221.4469273,200.1146616
203.7439916,195.5030209,194.4150914
197.2029986,198.3782151,197.5760626
206.9080963,202.2501186,197.0388268
202.1741967,192.9814538,200.0068422
210.1018304,210.9751973,197.5853943
189.2975179,188.0371987,199.4779134
200.7070576,193.612065,196.1836377
203.411836,201.9639055,202.8980252
190.5627938,197.2103864,200.263806
203.9892527,191.3813586,200.7087899
196.3233184,193.4018081,203.8184268
198.1754334,195.2034476,195.9294691
143.065259,152.4053909,202.7145766
215.3219333,219.1323498,197.5934801
213.8632214,211.1261881,198.2787523
194.1822289,189.6172092,196.7001902
186.6588144,184.4994742,198.6610912
210.3446216,211.0771268,196.9973796
211.6382394,201.5310002,195.9835121
207.5609928,197.6642721,198.4151122
194.2877696,200.5732863,197.2396744
200.5313149,207.5999207,198.6273946
194.2080946,185.0028102,200.4688023
183.9851863,185.7360088,201.3427207
189.770282,188.4432416,196.7634152
204.6350409,205.6046448,197.8304671
205.6791796,208.6391261,199.2974397
144.3797084,102.4522636,199.5820168
212.9950113,208.0091529,197.5481492
189.0388821,188.6126477,197.6440405
208.5074292,203.6048234,197.2228804
207.0821283,199.7967454,199.1750688
186.4433657,192.7084437,196.244803
214.3953412,210.6365924,198.5902692
185.4582946,187.3897172,193.0372685
194.9195149,180.3455148,196.8647073
193.9437954,194.663994,194.773023
197.6963258,199.1337443,203.8039162
205.0639714,201.5626915,200.2856354
162.0641869,113.1837559,199.6774788
196.1703991,188.2542862,200.8818577
198.3034781,192.8988524,199.0709929
201.3901225,203.3308855,205.2821406
204.2884933,205.3786463,199.9777619
201.3089606,186.0458022,194.669819
193.7354201,195.5990709,195.4613118
206.1133373,210.9947898,200.4165339
186.7869685,180.3687176,200.3363001
210.0364234,212.7321115,198.7226369
198.3281239,197.7011461,199.8028101
186.7706281,192.2059841,193.9641722
198.7673698,194.1193193,195.0853447
205.683704,206.3245931,192.9326022
199.2615865,195.9806494,198.5670619
186.4617545,178.8794085,203.2312456
203.5944296,203.6163649,198.4144878
185.042859,180.3384964,196.6733618
195.6469464,199.492258,200.9722379
201.3387005,196.3077482,199.809608
187.3635986,189.7123977,197.3114639
197.4357648,198.8920632,197.6545872
195.6686322,192.6371293,202.8572523
179.3589173,168.0962738,201.0670383
