Claude 3 Opus@p50,Claude 3.5 Sonnet (New)@p50,Claude 3.5 Sonnet (Old)@p50,Claude 3.7 Sonnet@p50,Claude 4 Opus@p50,Claude 4 Sonnet@p50,Claude 4.1 Opus@p50,Claude Opus 4.5@p50,Claude Sonnet 4.5@p50,DeepSeek-R1@p50,DeepSeek-R1-0528@p50,DeepSeek-V3@p50,DeepSeek-V3-0324@p50,GPT-2@p50,GPT-4 0125@p50,GPT-4 0314@p50,GPT-4 1106@p50,GPT-4 Turbo@p50,GPT-4o@p50,GPT-5@p50,GPT-5.1-Codex-Max@p50,Gemini 2.5 Pro Preview@p50,Grok 4@p50,Kimi K2 Thinking@p50,Qwen2-72B@p50,Qwen2.5-72B@p50,davinci-002 (GPT-3)@p50,gpt-3.5-turbo-instruct@p50,gpt-oss-120b@p50,human@p50,o1@p50,o1-preview@p50,o3@p50,o4-mini@p50,Claude 3 Opus@p80,Claude 3.5 Sonnet (New)@p80,Claude 3.5 Sonnet (Old)@p80,Claude 3.7 Sonnet@p80,Claude 4 Opus@p80,Claude 4 Sonnet@p80,Claude 4.1 Opus@p80,Claude Opus 4.5@p80,Claude Sonnet 4.5@p80,DeepSeek-R1@p80,DeepSeek-R1-0528@p80,DeepSeek-V3@p80,DeepSeek-V3-0324@p80,GPT-2@p80,GPT-4 0125@p80,GPT-4 0314@p80,GPT-4 1106@p80,GPT-4 Turbo@p80,GPT-4o@p80,GPT-5@p80,GPT-5.1-Codex-Max@p80,Gemini 2.5 Pro Preview@p80,Grok 4@p80,Kimi K2 Thinking@p80,Qwen2-72B@p80,Qwen2.5-72B@p80,davinci-002 (GPT-3)@p80,gpt-3.5-turbo-instruct@p80,gpt-oss-120b@p80,human@p80,o1@p80,o1-preview@p80,o3@p80,o4-mini@p80
6.126694716,27.68596293,17.38439381,52.2911765,78.32271974,68.88257092,105.529037,260.5560708,109.767914,24.87848507,29.35482023,17.34362511,21.88097534,0.05291138285,5.323195494,5.067277794,7.971270963,6.480748181,8.410464147,127.1112052,166.6246984,36.26382901,98.59478593,53.48791935,2.222695307,4.951011319,0.1407918494,0.5323699574,41.09269049,113.233298,37.49916945,20.39970585,86.74745086,72.89578701,1.221355528,5.083130946,3.182619706,15.52281174,20.19821664,16.01409615,19.61892517,28.53130355,21.70306579,4.273262492,3.21576382,4.034514535,5.694425624,0.01285689828,1.440235415,1.011822632,1.467230381,1.819881988,1.580849478,24.5732363,30.52023074,8.36746113,15.65900673,10.47802513,0.5002311342,1.020536764,0.05518104971,0.2324558663,6.020663495,7.63305108,4.94513833,4.632929862,19.34054502,14.293951
5.996500808,26.05942022,16.36834964,49.39053043,77.10570555,67.56933172,106.5327498,308.982071,117.3012817,23.65331966,28.81942491,16.42357656,20.49695016,0.04700807681,5.225852093,5.077924936,7.558069247,6.336173953,8.40475341,132.758901,163.0589368,34.92805396,108.3880736,51.55727212,2.148153722,4.972449267,0.137793241,0.5339437018,40.31904415,121.3190016,36.86306036,19.17270995,85.15032304,73.33593511,1.196781073,3.514572025,2.60425459,13.39120326,18.57625827,14.92173163,18.61780018,26.19560201,17.19292689,3.389921083,2.985434558,3.535297953,4.666133363,0.009656709726,1.408517841,1.058577198,1.293855583,1.768531677,1.682054529,21.97148972,27.89852002,8.149921077,11.12801168,10.04509548,0.4621488422,1.073367894,0.05344424073,0.2213868788,5.835171714,6.598864753,4.917112224,3.812740581,19.33947304,13.66863828
6.432304323,30.03989243,18.68394498,59.53086697,92.5670246,80.43807943,126.1735292,372.3495178,134.7593147,27.25355912,33.16016651,18.72994074,23.43290492,0.05368718033,5.525802275,5.534610406,8.489992472,6.695012525,9.417313896,153.7849579,202.0402799,41.07243978,122.2887383,61.2156209,2.3856165,5.357414043,0.1458169396,0.6230166887,46.70735408,135.7597101,42.79170188,22.246733,101.7210655,83.52107593,1.194996409,4.040361958,2.94588072,14.73529,21.53725349,17.7573382,21.11721554,26.53942219,21.22685194,3.905203256,3.497320987,3.974312369,5.055798055,0.01256712617,1.424492662,1.133620383,1.468028975,1.766767372,1.899687573,26.5636504,32.11710264,9.164937131,14.0050626,11.95894538,0.5424300342,1.112973947,0.05740434844,0.2600282564,5.655699918,7.929537836,5.952008521,4.607429921,22.74414521,16.67011092
7.216345551,31.02017434,20.20243388,56.99963467,87.5726834,77.31158581,118.6817746,330.5727935,132.2189001,28.56080344,33.86586116,20.19409852,25.50883783,0.05019709512,6.399252811,5.936429478,9.225359836,7.651935431,10.05331746,147.6173361,185.3699504,41.57579515,121.1739709,60.17730111,2.589862672,5.733343084,0.1367160137,0.5781639287,46.91600873,129.4003697,43.01832066,23.86830931,95.15757895,83.304318,1.440013771,4.821402172,3.802278319,18.66964413,21.91302512,17.66920067,22.31965856,31.35818356,19.75645378,4.963023727,4.038802948,4.813813651,7.111350457,0.0116219677,1.736008349,1.169602163,1.65710736,2.095670276,1.987688816,25.58171409,31.57149901,11.37673381,13.42697017,12.68022127,0.5689273462,1.138679274,0.05216662526,0.2380345818,7.402196695,8.959923427,6.380776693,5.830078247,24.06793312,17.70475617
6.943680686,31.27498655,19.80356834,61.0710665,96.08046141,83.72176802,129.8126928,319.5711662,141.7955615,28.32717689,34.5012716,19.66039245,24.52857057,0.05191103757,5.729877727,5.569453577,8.925703811,7.175622998,9.500130775,156.1238802,193.7240082,42.57517332,123.7021558,63.56445833,2.36215841,5.407946357,0.1426228174,0.5808277198,48.80405581,133.8497377,44.24429632,22.70389443,105.2439812,86.10292969,1.497430992,4.542735255,3.62569483,18.18685291,23.86863555,18.7965126,24.88140275,37.8733929,22.67567707,4.320827958,3.930940141,4.636592497,5.889050512,0.01197573013,1.559921571,1.133781302,1.689974984,2.135699853,1.876787381,32.73092355,36.33397744,10.22303258,17.46420807,13.18249478,0.5363525637,1.127356814,0.05476905728,0.2547538915,8.042228619,10.14581312,5.724965962,4.585334943,26.16666039,18.4290111
7.01418242,29.71297662,19.4407592,54.81289898,80.59554643,71.399652,103.6906363,217.4637331,110.179343,27.02424231,31.69024856,19.13656349,24.2585608,0.05070815649,5.891042439,5.625036289,9.169729115,7.104901467,9.608540074,123.4803363,152.041173,39.67540832,102.1346965,56.42019405,2.406766539,5.471021235,0.1457363519,0.5685918789,43.90186013,111.1474539,40.44291532,22.56761727,87.35514485,74.7999924,1.535928617,5.509881339,4.045696061,19.36709061,27.11078138,22.90868414,27.29413272,40.60693983,26.2339354,4.997401566,4.187883055,4.670365479,6.879470815,0.01102788113,1.604113401,1.159264731,1.911972499,1.967125821,2.016378742,32.17207138,34.18061883,11.36575557,16.4556941,14.49900862,0.5409598447,1.15260972,0.052942634,0.239051741,7.755016478,9.260337598,7.08222476,5.567224284,28.54948289,21.08165484
6.042726749,29.6317453,18.26144764,57.64371057,93.12339673,81.44664198,129.4308651,349.6050702,142.5720849,26.90178776,33.25165098,17.86258367,22.77931913,0.05432250796,5.168303668,5.149670111,8.276688389,6.234689354,8.784794018,157.0399084,203.2309276,40.23289351,120.5672952,59.58345214,2.254763262,4.82361829,0.148671761,0.5978711686,46.79173285,142.8759426,42.64465885,21.64815075,102.2946524,88.11358469,1.055013103,3.875578575,2.928342197,16.87045361,22.72708777,16.61891104,22.75069712,31.78506027,20.73379453,3.956902746,3.845672755,3.624557142,5.192619616,0.01259784145,1.265935625,0.9787315637,1.473598853,1.549168247,1.625613027,30.17038003,36.64041684,10.4789069,17.67504517,12.0786766,0.4922222191,0.8647401218,0.05578024935,0.250574768,6.363054345,8.04081318,6.005685292,4.712021326,25.21176932,19.16768372
6.989729163,29.53329782,19.0438081,53.90023185,81.11821566,72.20031121,108.6745727,283.4231706,117.4149674,27.30740828,32.10207478,19.23327905,24.22745101,0.05497068386,6.209658313,5.97294262,9.608712011,7.625950091,10.09649553,130.3283105,166.2383951,39.5004602,105.938175,56.39689532,2.724430192,5.761715993,0.1545654047,0.6497520113,44.22931725,122.8415817,40.92687741,22.98017425,89.08791612,74.3297286,1.417145366,4.802415755,3.456890435,17.95266563,23.23083101,17.97733451,22.54790645,31.22714767,21.34174789,5.008425107,3.982664933,4.598826349,6.732025601,0.01267732922,1.71892424,1.276731876,2.090382843,2.245507075,2.232864766,27.66336969,32.14584301,11.53804919,15.49118175,13.55249554,0.6711113737,1.236152463,0.05613896316,0.2649191726,6.963212511,7.765721221,7.338711797,5.956296649,23.39109853,18.43683618
6.869816122,29.78677445,18.98646649,54.63359,84.64202917,75.03235447,117.9079047,329.5829693,127.9455317,27.02315761,32.36819959,19.03842202,23.72725841,0.053821723,5.968460151,5.80302075,8.770220514,7.168721317,9.690034305,145.9068647,182.1287728,39.15524647,117.2798024,57.7365961,2.488277496,5.635306309,0.1405173496,0.590198474,45.09668834,135.3141242,41.26329944,22.28146473,95.87469863,80.12547548,1.39860777,4.832096839,3.433367749,16.13619294,21.46456755,16.52842565,20.89454175,28.47742287,20.20541134,4.433907903,3.562742219,4.510865482,6.171668831,0.01377804621,1.611794763,1.226833375,1.596470318,1.962094897,2.014158126,25.03346386,31.65903628,9.346810772,13.52602599,12.08744094,0.5645948123,1.211447498,0.05268802342,0.2567102519,6.170614746,7.256468353,5.622861719,5.131416689,19.84670404,14.05112183
6.304282515,28.20697857,18.3089001,53.942943,77.47901667,68.34159637,101.3698095,246.9896109,105.8117305,26.09774993,29.79985418,17.9968562,22.33358676,0.05453342574,5.734739445,5.27010777,8.25808238,6.695439871,9.239754784,124.7244906,156.1437815,37.42393563,97.10606591,53.74392299,2.250698348,5.080298248,0.1433566827,0.5392521547,41.59668177,114.2544764,38.28756944,21.26457752,85.10542915,73.76233805,1.275237495,5.413763672,3.828273292,16.91870162,22.63073142,18.97191017,21.94493216,29.50689911,23.61579528,5.480359556,3.736029718,4.413709821,5.741737162,0.01379808868,1.697470227,1.089215668,1.575401558,1.907789434,2.067945629,24.01184748,30.74147778,10.16873793,15.55654548,12.17270125,0.5028104589,1.054679364,0.05507429002,0.2286499276,7.471732691,6.953299584,6.757752698,5.268834724,21.1114741,16.19718057
