Claude 3 Opus (Inspect)@p50,Claude 3.5 Sonnet (New) (Inspect)@p50,Claude 3.5 Sonnet (Old) (Inspect)@p50,Claude 3.7 Sonnet (Inspect)@p50,Claude 4 Opus (Inspect)@p50,Claude 4.1 Opus (Inspect)@p50,Claude Opus 4.5 (Inspect)@p50,Claude Opus 4.6 (Inspect)@p50,GPT-4 0314@p50,GPT-4 1106 (Inspect)@p50,GPT-4 Turbo (Inspect)@p50,GPT-4o (Inspect)@p50,GPT-5 (Inspect)@p50,GPT-5.1-Codex-Max (Inspect)@p50,GPT-5.2@p50,GPT-5.3-Codex@p50,Gemini 3 Pro@p50,human@p50,o1 (Inspect)@p50,o1-preview@p50,o3 (Inspect)@p50,Claude 3 Opus (Inspect)@p80,Claude 3.5 Sonnet (New) (Inspect)@p80,Claude 3.5 Sonnet (Old) (Inspect)@p80,Claude 3.7 Sonnet (Inspect)@p80,Claude 4 Opus (Inspect)@p80,Claude 4.1 Opus (Inspect)@p80,Claude Opus 4.5 (Inspect)@p80,Claude Opus 4.6 (Inspect)@p80,GPT-4 0314@p80,GPT-4 1106 (Inspect)@p80,GPT-4 Turbo (Inspect)@p80,GPT-4o (Inspect)@p80,GPT-5 (Inspect)@p80,GPT-5.1-Codex-Max (Inspect)@p80,GPT-5.2@p80,GPT-5.3-Codex@p80,Gemini 3 Pro@p80,human@p80,o1 (Inspect)@p80,o1-preview@p80,o3 (Inspect)@p80
3.813620306,18.42840912,10.60105146,53.40211162,88.43381189,88.21154041,331.0281183,990.3577847,3.934246002,3.838901136,3.427077326,6.654883679,191.7162665,212.923698,428.3773558,401.785924,211.9202046,107.7758635,34.56891342,19.1937473,104.9490919,0.6249284458,2.086143752,1.492779839,9.119738461,15.13506056,15.95330831,29.58272669,51.36353169,0.843550285,0.7249412521,0.7761445353,1.203217947,25.80887889,32.30517776,39.14400403,34.99471683,34.10913065,12.79289453,5.412745113,3.766273671,19.83567611
3.698424791,17.57059372,10.38552177,51.4648771,88.26163187,86.02696944,315.8284274,977.7371148,3.492575362,3.697861191,3.302135586,6.072488811,202.6780294,221.1993378,433.1516563,428.3833153,202.0510205,111.1538201,33.64541685,17.90600502,103.5433766,0.5891221269,1.817874357,1.42934506,7.773461285,11.37735816,14.04011041,29.56247311,49.8821576,0.6973843838,0.6673559207,0.7108812492,0.9350346388,21.09894807,27.73665731,37.00930333,31.45678194,34.50458331,7.464034312,5.568204538,3.384391179,16.8455164
3.524527396,20.58879605,10.96087033,66.2193475,116.2420973,115.0717989,428.805398,1334.288997,3.396040975,3.506652417,3.097360521,6.266169243,264.2874408,302.457951,515.4549457,506.3040907,299.1403478,141.4989737,40.76939841,19.31235086,143.1658597,0.4552616118,1.861762305,1.265856324,8.797748032,18.14421095,20.63882988,47.10779756,77.0988,0.5665498075,0.5218270463,0.5685961762,0.8494008238,36.40092294,44.59459482,68.72183789,57.64319649,48.2246548,9.708092164,5.379577668,2.709521141,21.94882507
3.573900444,19.60263159,10.65535832,58.74564599,100.7315662,99.6673082,334.5043013,1208.91389,3.591738147,3.684095767,3.332163661,6.491674117,217.799737,238.3180395,417.9404766,450.8139325,248.1442432,119.2253841,37.24279516,19.51011805,118.6841606,0.5035946876,2.100251919,1.375155001,9.218356806,14.74684635,16.93916797,40.48937907,57.92614985,0.6903229224,0.6318292872,0.7167221612,1.041759705,30.3145188,40.02095067,54.05289743,41.52962915,38.328648,11.3846542,5.438294126,3.683333089,22.74713667
3.253928105,19.18750316,10.18604093,60.90315499,104.8026263,103.9931941,353.6295672,973.7924051,3.231048685,3.330548344,2.950688012,6.129333947,227.8208861,246.555182,428.6975294,450.5363017,248.3702571,119.8309574,38.26469394,18.66470408,123.8260991,0.4087995755,1.817574567,1.104356749,10.82767831,16.21499207,18.23066521,43.85132999,70.98324951,0.5397735123,0.5084466983,0.5580088414,0.907387959,33.40491017,46.09161413,61.26116274,47.81810609,47.72079905,10.85968489,5.849556117,2.945061648,25.5959666
3.423959075,18.83094146,10.50013377,59.61440837,103.8080253,102.5436951,365.4893687,1095.302618,3.568723367,3.839682802,3.381500002,6.274402246,235.0296631,272.2353463,453.1925728,463.9753015,258.3780633,102.9181868,37.66265019,19.32675461,125.1154784,0.4623535985,1.668926871,1.267762935,8.233421629,15.01341636,18.44594284,38.69223748,62.53570176,0.7478003102,0.7502560528,0.7884165594,0.9797543848,28.36241857,33.65723232,53.20134164,42.92535655,40.00958533,9.586108683,5.706339704,3.299278532,20.65377609
3.13698436,19.16442129,9.724787534,60.14636747,104.7662495,104.412496,368.0123452,900.0968727,3.2289534,3.265045123,2.945568475,5.678497293,234.5744908,269.2374071,436.3828589,431.2147902,261.4771553,120.5210638,37.51404744,19.22287548,125.6578895,0.386242923,1.920653244,0.9917819726,8.633509477,16.63878237,18.12882808,41.6802245,73.66018661,0.587696572,0.5102893154,0.5958393279,0.7570212796,31.58686693,38.13318805,60.91379533,50.8750645,43.36892544,10.13672059,5.438424125,3.497796742,24.2132406
3.67268857,20.63845559,11.20645914,62.36536884,105.4950005,105.6261618,365.3204024,973.0475558,3.534939129,3.68688311,3.470913669,6.763059898,238.9479391,251.72572,435.6376706,457.3698574,254.4870692,123.4211696,39.93723094,21.04136049,125.2679425,0.5025112607,2.338486615,1.389617757,10.39362325,18.85004509,19.17344617,41.71350936,69.54686834,0.6116012856,0.5851032,0.7468330769,1.074879421,30.23933718,44.45590434,59.47905855,46.60370928,45.5690765,11.39677219,6.667071804,4.068268016,27.15790302
3.398751662,20.36364791,10.52485096,66.08218155,118.1450325,117.178093,442.7279806,1389.543487,3.350910491,3.283217254,2.981063165,6.071393151,282.2254574,305.8353257,571.9227396,589.4497998,323.1700173,145.6629671,39.96058091,19.77798888,143.1103241,0.4825472031,2.039655987,1.230083034,9.933852758,16.8158073,19.29784745,45.67750733,74.56627587,0.6485362002,0.511276099,0.6218219,0.8987579593,31.97629817,45.7901728,61.69380843,48.67870621,42.3720533,10.20175642,5.013946609,3.323063298,24.50560902
3.284167679,18.05117253,10.22501593,56.99130999,98.22839782,98.34338793,368.8456871,1226.318698,3.209289137,3.213571463,2.973493087,6.07702269,230.2251457,246.2689226,461.1724633,457.1501348,253.8057769,110.0601566,35.7827894,18.23637969,117.0804054,0.4639031846,1.735355543,1.374566536,8.809956541,14.49256838,14.70441179,34.02041339,56.31123968,0.5912337748,0.5048530439,0.6283571417,0.9939803762,24.97596022,35.12226056,47.14448572,39.58672266,34.61329534,10.52757538,5.070196609,3.297653222,20.84580104
