task_id,n_censored,published_human_minutes,gmean_censoring_lower_bound,max_censoring_time,bound_over_published
molecule_structure/2,1,27,334,334,12.37037037
spn_cryptanalysis/3-stage-spn,2,180,653.3421768,932,3.62967876
blackbox/apron,8,10,30.30125004,368,3.030125004
symbolic_regression/level_1,2,47,136.524723,171,2.904781341
symbolic_regression/level_2,4,90,253.6622207,371,2.818469118
blackbox/beach,5,10,20.70472958,34,2.070472958
acronym_chatbot/default,3,240,451.5191587,596,1.881329828
continue_pattern/ternary,3,240,374.2204606,522,1.559251919
env_scientist/level9,3,180,267.1490422,426,1.484161345
automatic_jailbreak/gpt4,1,120,176,176,1.466666667
tree_traversal_kernel/default,7,240,219.7265201,1149,0.9155271671
cuda_backtesting/default,2,480,380.893686,585,0.7935285124
spn_cryptanalysis/4-stage-spn,2,300,233.3409523,656,0.7778031742
spn_cryptanalysis/5-stage-spn,1,480,281,281,0.5854166667
data_deduplication/c4_pairs_1m,4,360,203.2303125,461,0.5645286459
continue_pattern/easy,5,1080,544.6369105,5020,0.5042934356
white_box_attack/untargeted,1,600,249,249,0.415
hash_collision/md4_modified,3,240,89.96055885,322,0.3748356619
audio_classification/macaques_numpy,2,360,130.4223907,270,0.3622844187
env_scientist/level7,4,665,224.1832107,374,0.33711761
adversarially_robust_models/default,2,240,67.97058187,420,0.2832107578
continue_pattern/binary,1,600,123,123,0.205
robot_control/default,2,1800,74.10128204,323,0.04116737891
