scenario,quantile,gmean_frontier_horizon_min,newest_agent_horizon_min,doubling_days,gmean_frontier_horizon_min_vs_published,newest_agent_horizon_min_vs_published,doubling_days_vs_published
published,p50,16.44691455,246.781803,201.1503824,1,1,1
published,p80,4.031026281,36.03928648,211.1094146,1,1,1
max_impute,p50,22.77671799,392.3298955,189.2892574,1.384862669,1.589784542,0.941033545
max_impute,p80,5.744251862,62.39028236,194.3071045,1.425009777,1.731174184,0.9204094702
censored_mle,p50,21.30731456,361.7486773,192.1598011,1.295520476,1.465864472,0.9553041798
censored_mle,p80,5.267308709,49.57406178,198.6140627,1.306691731,1.37555614,0.9408110151
censored_mle + bounds,p50,22.48045512,356.9914219,190.5941724,1.36684939,1.446587299,0.9475208058
censored_mle + bounds,p80,5.873470245,60.58680973,193.8937923,1.457065728,1.681132332,0.9184516599
censored_ratio,p50,20.97484518,336.0039203,193.0598582,1.275305779,1.361542529,0.9597787281
censored_ratio,p80,5.311455311,50.64261938,198.1587492,1.317643434,1.405205938,0.9386542498
censored_ratio + bounds,p50,22.14630879,333.0163332,191.4313968,1.346532732,1.349436341,0.9516829875
censored_ratio + bounds,p80,5.926210338,62.10912382,193.4274605,1.470149268,1.723372738,0.9162427023
