scenario,quantile,gmean_frontier_horizon_min,newest_agent_horizon_min,doubling_days,gmean_frontier_horizon_min_vs_published,newest_agent_horizon_min_vs_published,doubling_days_vs_published
published,p50,49.35201942,718.80683,128.7438021,1,1,1
published,p80,8.93215989,69.87458699,133.4053125,1,1,1
max_impute,p50,62.34500682,912.9877494,125.7619114,1.263271646,1.270143398,0.9768385693
max_impute,p80,12.08930264,98.0596785,122.591715,1.35345793,1.403366842,0.9189417781
censored_mle,p50,59.88121193,942.0002996,125.3921012,1.213348767,1.310505494,0.9739661186
censored_mle,p80,10.36802765,83.30995462,128.8576996,1.160752581,1.192278312,0.9659113063
censored_mle + bounds,p50,62.7839729,881.8057253,126.3676636,1.272166238,1.226763142,0.981543667
censored_mle + bounds,p80,11.85678617,96.39894318,124.5505293,1.327426548,1.37959947,0.9336249585
censored_ratio,p50,59.38286932,896.9727205,125.9626564,1.203251053,1.24786338,0.9783978287
censored_ratio,p80,10.33450512,84.02698236,129.1691334,1.156999567,1.20253995,0.9682457995
censored_ratio + bounds,p50,62.26157444,841.6516541,126.9376558,1.26158109,1.170901025,0.9859710036
censored_ratio + bounds,p80,11.8145029,97.39007424,124.8523766,1.322692724,1.393783898,0.9358875919
