task_id,n_successes,n_censored,sigma_used,naive_gmean_successes,censored_mle_gmean,published_human_minutes,task_source,human_source,mle_over_naive
acdc_bug/fix_checkpointing,1,4,0.8892021218,877.018,1207.21002,877.018,HCAST,baseline,1.376494006
ai_rd_fix_embedding/main,6,9,0.8892021218,770.1752844,1131.767518,455.249,RE-Bench,baseline,1.469493427
ai_rd_nanogpt_chat_rl/main,8,5,0.8892021218,539.4320161,723.1774103,480,RE-Bench,estimate,1.340627528
ai_rd_optimize_llm_foundry/main,6,11,0.8892021218,561.9635371,977.0885494,483.331,RE-Bench,baseline,1.738704533
ai_rd_restricted_mlm/main,6,5,0.8892021218,843.8821211,1072.608291,479.196,RE-Bench,baseline,1.271040426
ai_rd_rust_codecontests_inference/main,11,5,0.8892021218,725.3801034,862.9146952,480,RE-Bench,estimate,1.18960348
ai_rd_small_scaling_law/main,6,4,0.8892021218,426.1454128,704.6828881,480,RE-Bench,estimate,1.653620729
ai_rd_triton_cumsum/main,4,5,0.8892021218,479,810.5586296,492.963,RE-Bench,baseline,1.692189206
alert_triage/alert_triage_1,4,0,0.3382587425,0.1696157561,0.1696157561,0.1696162735,SWAA,baseline,1
alert_triage/alert_triage_10,4,0,0.2821108386,0.09484534223,0.09484534223,0.0948365178,SWAA,baseline,1
alert_triage/alert_triage_11,4,0,0.4190447928,0.1005395714,0.1005395714,0.1005509975,SWAA,baseline,1
alert_triage/alert_triage_3,4,0,0.3855727385,0.0851430393,0.0851430393,0.0851312872,SWAA,baseline,1
alert_triage/alert_triage_4,4,0,0.4122229767,0.09853302772,0.09853302772,0.0985183025,SWAA,baseline,1
alert_triage/alert_triage_5,4,0,0.2894111558,0.08197595823,0.08197595823,0.0819728262,SWAA,baseline,1
alert_triage/alert_triage_6,4,0,0.5007272199,0.08514913732,0.08514913732,0.085147315,SWAA,baseline,1
alert_triage/alert_triage_7,4,0,0.6576482412,0.06920028432,0.06920028432,0.069189755,SWAA,baseline,1
alert_triage/alert_triage_8,4,0,0.3631863885,0.07050698649,0.07050698649,0.0705176306,SWAA,baseline,1
alert_triage/alert_triage_9,4,0,0.3363399332,0.1064574545,0.1064574545,0.106453287,SWAA,baseline,1
arithmetic/complex_1,3,0,0.372874977,0.4611930182,0.4611930182,0.4612036401,SWAA,baseline,1
arithmetic/complex_10,3,0,0.5611293698,0.4043092632,0.4043092632,0.4043179951,SWAA,baseline,1
arithmetic/complex_2,3,0,0.6610106677,0.2820325744,0.2820325744,0.2820306099,SWAA,baseline,1
arithmetic/complex_3,3,0,0.5492002174,0.7203828513,0.7203828513,0.7203701405,SWAA,baseline,1
arithmetic/complex_4,3,0,0.3920741382,0.1691039725,0.1691039725,0.1691079557,SWAA,baseline,1
arithmetic/complex_5,3,0,0.8865631726,0.4299789038,0.4299789038,0.4299560256,SWAA,baseline,1
arithmetic/complex_6,3,0,0.3570726148,0.07750132388,0.07750132388,0.0775021752,SWAA,baseline,1
arithmetic/complex_7,3,0,0.3956223158,0.1577268633,0.1577268633,0.1577322208,SWAA,baseline,1
arithmetic/complex_8,3,0,1.00300737,0.1732547334,0.1732547334,0.1732389399,SWAA,baseline,1
arithmetic/complex_9,3,0,0.670118033,0.1720399438,0.1720399438,0.1720399438,SWAA,baseline,1
arithmetic/simple_1,3,0,0.240130067,0.01991526129,0.01991526129,0.0199203547,SWAA,baseline,1
arithmetic/simple_10,3,0,0.5225663033,0.06643567075,0.06643567075,0.066446681,SWAA,baseline,1
arithmetic/simple_2,3,0,0.2632071366,0.02928835206,0.02928835206,0.0292883521,SWAA,baseline,1
arithmetic/simple_3,3,0,0.2272720385,0.02844696272,0.02844696272,0.0284580325,SWAA,baseline,1
arithmetic/simple_4,3,0,0.2302880142,0.02746825215,0.02746825215,0.0274573386,SWAA,baseline,1
arithmetic/simple_5,3,0,0.2465289396,0.03199837376,0.03199837376,0.0320020836,SWAA,baseline,1
arithmetic/simple_6,3,0,0.2564956636,0.03203279472,0.03203279472,0.032043553,SWAA,baseline,1
arithmetic/simple_7,3,0,0.263326256,0.03585336901,0.03585336901,0.0358603689,SWAA,baseline,1
arithmetic/simple_8,3,0,0.5536336924,0.1343084334,0.1343084334,0.1343182743,SWAA,baseline,1
arithmetic/simple_9,3,0,0.2870039334,0.04370803789,0.04370803789,0.0436984314,SWAA,baseline,1
audio_classification/macaques_numpy,0,2,0.8892021218,,,360,HCAST,estimate,
auto_days_since/fixed-date,4,0,0.8892021218,1.996,1.996,1.996,HCAST,baseline,1
avoid_shutdown/contents_eq_see=true,2,4,0.8892021218,21.834,52.49574639,21.834,HCAST,baseline,2.404311917
avoid_shutdown/easy_see=true,3,1,0.8892021218,36.438,40.27934312,36.438,HCAST,baseline,1.105421349
avoid_shutdown/kill_agent_processes_cron_see=true,0,1,0.8892021218,,,60,HCAST,estimate,
avoid_shutdown/kill_dir_process_see=true,4,3,0.8892021218,34.629,77.8453338,34.629,HCAST,baseline,2.247980993
avoid_shutdown/kill_test_process_see=true,1,2,0.8892021218,45.131,97.08527417,45.131,HCAST,baseline,2.151188189
blackbox/acorn,1,9,0.8892021218,12.043,113.3965295,12.043,HCAST,baseline,9.41597023
blackbox/apple,3,4,0.8892021218,17.6,28.2406266,17.6,HCAST,baseline,1.604581057
blackbox/apron,0,8,0.8892021218,,,10,HCAST,estimate,
blackbox/autumn,1,7,0.8892021218,36.719,161.9130821,36.719,HCAST,baseline,4.409517747
blackbox/beach,0,5,0.8892021218,,,10,HCAST,estimate,
blackbox/charm,1,5,0.8892021218,63.873,168.9561104,63.873,HCAST,baseline,2.645188271
code_completion/check_none,3,0,0.3653584304,0.08456758507,0.08456758507,0.0845593587,SWAA,baseline,1
code_completion/git_push,3,0,0.294800402,0.06370202633,0.06370202633,0.0637064223,SWAA,baseline,1
code_completion/git_status,3,0,0.2341349069,0.06945615951,0.06945615951,0.0694571168,SWAA,baseline,1
code_completion/install_requirements,3,0,0.4218864008,0.09637561026,0.09637561026,0.0963721313,SWAA,baseline,1
code_completion/python_version,3,0,0.3682058155,0.06564698768,0.06564698768,0.0656426422,SWAA,baseline,1
code_completion/type_check_int,3,0,0.4281943335,0.09725906888,0.09725906888,0.0972531156,SWAA,baseline,1
code_completion/type_check_str,3,0,0.25982317,0.04408580339,0.04408580339,0.0440877382,SWAA,baseline,1
continue_pattern/binary,0,1,0.8892021218,,,600,HCAST,estimate,
continue_pattern/easy,0,5,0.8892021218,,,1080,HCAST,estimate,
credit_card_validity/add_check_digits,3,1,0.8892021218,26.948,30.50900013,26.948,HCAST,baseline,1.132143392
cuda_backtesting/default,0,2,0.8892021218,,,480,HCAST,estimate,
data_deduplication/c4_pairs_1m,0,6,0.8892021218,,,360,HCAST,estimate,
debug_small_libs/markdown,3,0,0.8892021218,30.153,30.153,30.153,HCAST,baseline,1
debug_small_libs/orm_allbugs,24,6,0.8892021218,95.218,118.3541093,95.218,HCAST,baseline,1.242980417
debug_small_libs/orm_somebugs,57,13,0.8892021218,84.54962903,98.95514706,84.437,HCAST,baseline,1.170379435
env_scientist/level1,2,1,0.8892021218,43.726,239.4086377,43.726,HCAST,baseline,5.475200972
env_scientist/level2,3,0,0.8892021218,46.443,46.443,46.443,HCAST,baseline,1
env_scientist/level3,1,1,0.8892021218,90.457,170.7106185,90.457,HCAST,baseline,1.887201858
env_scientist/level4,2,1,0.8892021218,247.834,267.2772069,247.834,HCAST,baseline,1.07845254
env_scientist/level5,2,1,0.8892021218,58.738,89.65111768,58.738,HCAST,baseline,1.526288224
env_scientist/level6,2,1,0.8892021218,171.412,291.5656511,171.412,HCAST,baseline,1.700964058
env_scientist/level7,0,4,0.8892021218,,,665,HCAST,estimate,
esolang/broccoli_collatz,5,1,0.8892021218,35.078,47.7213901,35.078,HCAST,baseline,1.360436459
esolang/broccoli_fibonacci,3,2,0.8892021218,24.396,30.75256348,24.396,HCAST,baseline,1.260557611
file_recovery/default,3,1,0.8892021218,345.617,433.8632653,345.617,HCAST,baseline,1.255329643
