task_id,n_successes,n_censored,sigma_used,naive_gmean_successes,censored_mle_gmean,published_human_minutes,task_source,human_source,mle_over_naive
acdc_bug/fix_checkpointing,1,4,0.8874010849072529,877.0180000000001,1205.6126560292894,877.018,HCAST,baseline,1.3746726475731275
acronym_chatbot/default,0,3,0.8874010849072529,,,240.0,HCAST,estimate,
adversarially_robust_models/default,0,2,0.8874010849072529,,,240.0,HCAST,estimate,
ai_rd_fix_embedding/main,6,9,0.8874010849072529,770.1752844099038,1130.4975889376758,455.249,RE-Bench,baseline,1.4678445437311654
ai_rd_nanogpt_chat_rl/main,8,6,0.8874010849072529,539.432016104277,757.3547484225782,480.0,RE-Bench,estimate,1.4039855362907767
ai_rd_rust_codecontests_inference/main,15,8,0.8874010849072529,683.9686250762646,841.2899261996325,480.0,RE-Bench,estimate,1.23001245284581
ai_rd_small_scaling_law/main,6,4,0.8874010849072529,426.1454128038084,704.2549126053661,480.0,RE-Bench,estimate,1.6526164343099372
ai_rd_triton_cumsum/main,4,5,0.8874010849072529,478.99999999999983,809.7073363909204,492.963,RE-Bench,baseline,1.6904119757639264
alert_triage/alert_triage_1,4,0,0.3382587424588585,0.16961575608911666,0.16961575608911666,0.1696162735,SWAA,baseline,1.0
alert_triage/alert_triage_10,4,0,0.2821108386475447,0.09484534223256086,0.09484534223256086,0.0948365178,SWAA,baseline,1.0
alert_triage/alert_triage_11,4,0,0.4190447927507876,0.10053957136358938,0.10053957136358938,0.1005509975,SWAA,baseline,1.0
alert_triage/alert_triage_3,4,0,0.3855727384728097,0.08514303929755039,0.08514303929755043,0.0851312872,SWAA,baseline,1.0000000000000004
alert_triage/alert_triage_4,4,0,0.412222976694928,0.09853302772470222,0.09853302772470222,0.0985183025,SWAA,baseline,1.0
alert_triage/alert_triage_5,4,0,0.2894111557935631,0.08197595822965216,0.08197595822965216,0.0819728262,SWAA,baseline,1.0
alert_triage/alert_triage_6,4,0,0.5007272199341491,0.08514913732177574,0.08514913732177572,0.085147315,SWAA,baseline,0.9999999999999997
alert_triage/alert_triage_7,4,0,0.6576482411978147,0.06920028432240061,0.06920028432240058,0.069189755,SWAA,baseline,0.9999999999999996
alert_triage/alert_triage_8,4,0,0.3631863884658614,0.07050698649422117,0.07050698649422117,0.0705176306,SWAA,baseline,1.0
alert_triage/alert_triage_9,4,0,0.3363399332379091,0.10645745453199038,0.10645745453199038,0.10645328700000001,SWAA,baseline,1.0
anti_bot_site/default,1,2,0.8874010849072529,110.08699999999999,335.9759619916159,110.087,HCAST,baseline,3.051913141348351
apps_dataset_debug/dev_9_sort,3,0,0.8874010849072529,7.866000000000174,7.866000000000174,7.866,HCAST,baseline,1.0
arithmetic/complex_1,3,0,0.3728749770422826,0.4611930182069439,0.4611930182069439,0.46120364010000003,SWAA,baseline,1.0
arithmetic/complex_10,3,0,0.5611293698161944,0.4043092632148027,0.4043092632148027,0.4043179951,SWAA,baseline,1.0
