task_id,task_family,task_source,human_source,score_binarized,score_cont,human_minutes,minutes_floored,delta_task,minutes_derived,derivation
acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,17.0,0.018000000000228583,17.018000000000228,delta_imputed_failure
acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,145.0,0.018000000000228583,145.01800000000023,delta_imputed_failure
acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,239.0,0.018000000000228583,239.01800000000023,delta_imputed_failure
acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,0,0.0,877.018,460.0,0.018000000000228583,460.01800000000026,delta_imputed_failure
acdc_bug/fix_checkpointing,acdc_bug,HCAST,baseline,1,1.0,877.018,877.0,0.018000000000228583,877.0180000000003,delta_corrected
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.6407736253,455.249,239.0,,239.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,479.0,,479.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.6612314082,455.249,479.0,,479.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.8975645560000001,455.249,479.0,,479.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,479.0,,479.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,9.69318e-05,455.249,479.0,,479.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.9901217046,455.249,479.0,,479.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.7351336418000001,455.249,480.0,,480.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,480.0,,480.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,480.0,,480.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.5831281660000001,455.249,480.0,,480.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,482.0,,482.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.8814259179,455.249,498.0,,498.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,0,0.6747984496,455.249,580.0,,580.0,uncorrected_rebench
ai_rd_fix_embedding/main,ai_rd_fix_embedding,RE-Bench,baseline,1,1.0,455.249,8191.0,,8191.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,464.0,,464.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,471.0,,471.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.4788034188,480.0,471.0,,471.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.918974359,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.0,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,1.0,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.4376068376,480.0,479.0,,479.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,0,0.5258119658,480.0,484.0,,484.0,uncorrected_rebench
ai_rd_nanogpt_chat_rl/main,ai_rd_nanogpt_chat_rl,RE-Bench,estimate,1,0.9531623932000001,480.0,1301.0,,1301.0,uncorrected_rebench
ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,0,0.12661923120000002,483.331,239.0,,239.0,uncorrected_rebench
ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,1,1.0,483.331,423.0,,423.0,uncorrected_rebench
ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,0,0.6205834789,483.331,452.0,,452.0,uncorrected_rebench
ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,0,0.4117272527,483.331,464.0,,464.0,uncorrected_rebench
ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,1,1.0,483.331,464.0,,464.0,uncorrected_rebench
ai_rd_optimize_llm_foundry/main,ai_rd_optimize_llm_foundry,RE-Bench,baseline,0,0.6124325506,483.331,468.0,,468.0,uncorrected_rebench
